period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,C&P,SCI,actuarial_fees,Actuarial Fees,INCOME,10,0.0,-0.0
2026-02,C&P,SCI,advertising_pr,Advertising & PR,EXPENSES,150,0.0,0.0
2026-02,C&P,SCI,communications,Communications,EXPENSES,120,0.0,0.0
2026-02,C&P,SCI,depreciation,Depreciation,EXPENSES,180,0.0,0.0
2026-02,C&P,SCI,entertainment,Entertainment,EXPENSES,100,0.0,0.0
2026-02,C&P,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,C&P,SCI,general_expenses,General Expenses,EXPENSES,200,797345.0,797345.0
2026-02,C&P,SCI,insurance,Insurance,EXPENSES,160,695590.16,695590.16
2026-02,C&P,SCI,insurance_commissions,Insurance Commissions,INCOME,40,0.0,-0.0
2026-02,C&P,SCI,it_costs,IT Costs,EXPENSES,110,0.0,0.0
2026-02,C&P,SCI,management_expense,Management Expense,EXPENSES,210,0.0,0.0
2026-02,C&P,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,0.0,0.0
2026-02,C&P,SCI,other_income,Other Income,INCOME,70,0.0,-0.0
2026-02,C&P,SCI,pension_admin_fee,Pension Admin Fee,INCOME,20,-8122126.83,8122126.83
2026-02,C&P,SCI,personnel_costs,Personnel Costs,EXPENSES,80,0.0,0.0
2026-02,C&P,SCI,premises,Premises,EXPENSES,140,0.0,0.0
2026-02,C&P,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,0.0,0.0
2026-02,C&P,SCI,professional_fees,Professional Fees,EXPENSES,170,232166.66,232166.66
2026-02,C&P,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,C&P,SCI,taxation,Taxation,EXPENSES,230,1919107.5,1919107.5
2026-02,C&P,SCI,travelling,Travelling,EXPENSES,90,0.0,0.0
2026-02,C&P,SFP,accrued_income,Accrued Income,ASSETS,410,8122126.83,8122126.83
2026-02,C&P,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,C&P,SFP,computer_software,Intangible - computer software,ASSETS,250,0.0,0.0
2026-02,C&P,SFP,deferred_tax,Deferred tax,ASSETS,310,4287361.0,4287361.0
2026-02,C&P,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
2026-02,C&P,SFP,deposits,Cash - Deposits,ASSETS,380,7784303.0,7784303.0
2026-02,C&P,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,95000791.58,95000791.58
2026-02,C&P,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
2026-02,C&P,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
2026-02,C&P,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,0.0,0.0
2026-02,C&P,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,-4477917.5,4477917.5
2026-02,C&P,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,0.0,-0.0
2026-02,C&P,SFP,office_cash,Cash - Office Cash,ASSETS,360,14812687.23,14812687.23
2026-02,C&P,SFP,other_receivables,Other Receivables,ASSETS,340,7448638.4,7448638.4
2026-02,C&P,SFP,placements,Cash - Placements,ASSETS,390,1043385.68,1043385.68
2026-02,C&P,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,0.0,0.0
2026-02,C&P,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,0.0,-0.0
2026-02,C&P,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,C&P,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
2026-02,C&P,SFP,retained_earnings,Retained earnings,EQUITY AND LIABILITIES,450,-133494469.71,133494469.71
2026-02,C&P,SFP,share_capital,Share capital,EQUITY AND LIABILITIES,420,-25000000.0,25000000.0
2026-02,C&P,SFP,tax_recoverable,Tax recoverable,ASSETS,400,-1033941.5,-1033941.5
2026-02,C&P,SFP,trade_and_other_payables,Trade and other payables,EQUITY AND LIABILITIES,480,-6639868.84,6639868.84
2026-02,C&P,SFP,trade_receivables,Trade Receivables (Debtors),ASSETS,320,32146903.84,32146903.84
2026-02,C&P,SFP,translation_reserve,Translation reserve,EQUITY AND LIABILITIES,430,0.0,-0.0
2026-02,DRC,SCI,actuarial_fees,Actuarial Fees,INCOME,10,0.0,-0.0
2026-02,DRC,SCI,advertising_pr,Advertising & PR,EXPENSES,150,1416178.4,1416178.4
2026-02,DRC,SCI,communications,Communications,EXPENSES,120,470941.25,470941.25
2026-02,DRC,SCI,depreciation,Depreciation,EXPENSES,180,702912.72,702912.72
2026-02,DRC,SCI,entertainment,Entertainment,EXPENSES,100,55514.3,55514.3
2026-02,DRC,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,DRC,SCI,general_expenses,General Expenses,EXPENSES,200,1713103.63,1713103.63
2026-02,DRC,SCI,insurance,Insurance,EXPENSES,160,0.0,0.0
2026-02,DRC,SCI,insurance_commissions,Insurance Commissions,INCOME,40,-7598108.07,7598108.07
2026-02,DRC,SCI,it_costs,IT Costs,EXPENSES,110,141611.39,141611.39
2026-02,DRC,SCI,management_expense,Management Expense,EXPENSES,210,316155.12,316155.12
2026-02,DRC,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,580622.82,580622.82
2026-02,DRC,SCI,other_income,Other Income,INCOME,70,0.0,-0.0
2026-02,DRC,SCI,personnel_costs,Personnel Costs,EXPENSES,80,3876538.08,3876538.08
2026-02,DRC,SCI,premises,Premises,EXPENSES,140,2158612.76,2158612.76
2026-02,DRC,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,116057.99,116057.99
2026-02,DRC,SCI,professional_fees,Professional Fees,EXPENSES,170,1339005.96,1339005.96
2026-02,DRC,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,DRC,SCI,taxation,Taxation,EXPENSES,230,0.0,0.0
2026-02,DRC,SCI,travelling,Travelling,EXPENSES,90,819308.75,819308.75
2026-02,DRC,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,DRC,SFP,computer_software,Intangible - computer software,ASSETS,250,0.0,0.0
2026-02,DRC,SFP,deferred_tax,Deferred tax,ASSETS,310,0.0,0.0
2026-02,DRC,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
2026-02,DRC,SFP,deposits,Cash - Deposits,ASSETS,380,0.0,0.0
2026-02,DRC,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,-10058760.46,-10058760.46
2026-02,DRC,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
2026-02,DRC,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
2026-02,DRC,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,0.0,0.0
2026-02,DRC,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,6108455.09,-6108455.09
2026-02,DRC,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,0.0,-0.0
2026-02,DRC,SFP,office_cash,Cash - Office Cash,ASSETS,360,20831189.88,20831189.88
2026-02,DRC,SFP,other_receivables,Other Receivables,ASSETS,340,11024875.26,11024875.26
2026-02,DRC,SFP,placements,Cash - Placements,ASSETS,390,533691.23,533691.23
2026-02,DRC,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,12210284.85,12210284.85
2026-02,DRC,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,-61311490.98,61311490.98
2026-02,DRC,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,DRC,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
