period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-02,2026-02-28,ZAAC,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,-68449055.62,68449055.62,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,ZAMRE,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,ZARIB,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,MALAWI,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,MENA,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,NIGERIA,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,RWANDA,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,-431776.16,431776.16,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,ZHL,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,ZATL,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,-2081397.27,2081397.27,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,DRC,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,C&P,SCI,INCOME,Actuarial Fees,detail,actuarial_fees,0.0,-0.0,SCI Detailed,8,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,ZAAC,SCI,INCOME,Pension Admin Fee,detail,pension_admin_fee,-77041761.17,77041761.17,SCI Detailed,9,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,MALAWI,SCI,INCOME,Pension Admin Fee,detail,pension_admin_fee,-36130002.85,36130002.85,SCI Detailed,9,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,MENA,SCI,INCOME,Pension Admin Fee,detail,pension_admin_fee,-14538518.03,14538518.03,SCI Detailed,9,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,NIGERIA,SCI,INCOME,Pension Admin Fee,detail,pension_admin_fee,-12728655.9,12728655.9,SCI Detailed,9,Feb 2026 Consolidated Accounts.xlsx
2026-02,2026-02-28,RWANDA,SCI,INCOME,Pension Admin Fee,detail,pension_admin_fee,-157459.24,157459.24,SCI Detailed,9,Feb 2026 Consolidated Accounts.xlsx
