entity,period,statement,category_l1,category_l2,statement_line_code,line_label,line_order,dbt_kes,client_kes,difference,difference_pct,status,reason,note,client_as_stated_kes
C&P,2026-02,SCI,INCOME,Revenue,actuarial_fees,Actuarial Fees,10,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,INCOME,Revenue,pension_admin_fee,Pension Admin Fee,20,8122126.83,8122126.83,0.0,0.0,tie,,,-8122126.83
C&P,2026-02,SCI,INCOME,Revenue,insurance_commissions,Insurance Commissions,40,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,INCOME,Revenue,saas_income,SAAS (Software as a Service),50,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,INCOME,Other income,other_income,Other Income,70,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,personnel_costs,Personnel Costs,80,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,travelling,Travelling,90,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,entertainment,Entertainment,100,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,it_costs,IT Costs,110,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,communications,Communications,120,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,printing_stationery,Printing & Stationery,130,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,premises,Premises,140,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,advertising_pr,Advertising & PR,150,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SCI,EXPENSES,Operating expenses,insurance,Insurance,160,695590.16,695590.16,0.0,0.0,tie,,,695590.16
C&P,2026-02,SCI,EXPENSES,Operating expenses,professional_fees,Professional Fees,170,232166.66,232166.66,0.0,0.0,tie,,,232166.66
