entity,period,source_accounts,seed_accounts,source_ytd_total,seed_cumulative_total,difference,movement_rows
ZAAC,2026-01,141,138,0.0,-0.0,-0.0,138
ZAAC,2026-02,158,150,0.0,-0.0,-0.0,104
ZAAC,2026-03,171,164,0.0,0.0,-0.0,117
ZAAC,2026-04,173,163,0.0,-0.0,-0.0,119
ZAAC,2026-05,173,163,-0.0,-0.0,0.0,112
ZAAC,2026-06,173,160,-0.0,-0.0,-0.0,109
ZAAC,2026-07,181,165,-0.0,-0.0,-0.0,111
ZARIB,2026-01,140,140,0.0,0.0,0.0,140
ZARIB,2026-02,180,147,-0.0,-0.0,-0.0,106
ZARIB,2026-03,181,151,-0.0,0.0,0.0,107
ZARIB,2026-04,181,153,0.0,0.0,0.0,122
ZARIB,2026-05,155,151,-0.0,0.0,0.0,112
ZARIB,2026-06,181,149,-0.01,-0.01,0.0,111
ZARIB,2026-07,181,148,-0.0,-0.0,-0.0,121
ZAMRE,2026-01,54,27,0.0,0.0,-0.0,27
ZAMRE,2026-02,56,33,0.0,0.0,-0.0,31
ZAMRE,2026-03,56,37,0.01,0.01,-0.0,36
ZAMRE,2026-04,56,38,0.0,0.0,-0.0,26
ZAMRE,2026-05,40,39,0.0,0.0,-0.0,29
ZAMRE,2026-06,45,42,-0.0,-0.0,-0.0,32
ZAMRE,2026-07,57,43,0.0,-0.0,-0.0,31
ZHL,2026-01,32,32,0.0,0.0,0.0,32
ZHL,2026-02,32,32,-0.0,0.0,0.0,7
ZHL,2026-03,33,33,-0.0,0.0,0.0,11
ZHL,2026-04,34,34,-0.0,0.0,0.0,10
ZHL,2026-05,33,33,0.0,0.0,-0.0,11
ZHL,2026-06,33,33,-0.0,0.0,0.0,9
ZHL,2026-07,34,33,-0.0,0.0,0.0,13
C&P,2026-01,27,26,-0.0,-0.0,-0.0,26
C&P,2026-02,29,28,0.0,-0.0,-0.0,15
C&P,2026-03,29,28,0.0,0.0,-0.0,18
C&P,2026-04,27,27,1.0,1.0,-0.0,19
C&P,2026-05,29,29,0.0,-0.0,-0.0,18
C&P,2026-06,39,31,0.0,0.0,-0.0,19
C&P,2026-07,39,31,0.0,0.0,-0.0,16
RWANDA,2026-01,71,71,0.0,0.0,-0.0,71
RWANDA,2026-02,80,78,-0.0,0.0,0.0,55
RWANDA,2026-03,85,80,0.16,0.16,-0.0,60
RWANDA,2026-04,85,82,-0.24,-0.24,-0.0,49
RWANDA,2026-05,85,80,0.76,0.76,-0.0,44
RWANDA,2026-06,85,80,-0.24,-0.24,-0.0,52
RWANDA,2026-07,91,87,-0.24,-0.24,-0.0,56
NIGERIA,2026-01,61,61,0.0,-0.0,-0.0,61
NIGERIA,2026-02,83,65,0.0,0.0,-0.0,52
NIGERIA,2026-03,87,67,0.0,0.0,-0.0,57
NIGERIA,2026-04,87,68,-1.0,-1.0,0.0,64
NIGERIA,2026-05,87,69,-0.0,0.0,0.0,59
NIGERIA,2026-06,87,69,-0.0,-0.0,-0.0,54
NIGERIA,2026-07,88,69,0.0,0.0,-0.0,54
MALAWI,2026-01,76,76,0.0,0.0,-0.0,76
MALAWI,2026-02,77,77,0.0,-0.0,-0.0,58
MALAWI,2026-03,84,84,0.0,0.0,-0.0,64
MALAWI,2026-04,85,83,0.0,-0.0,-0.0,60
MALAWI,2026-05,85,83,0.0,0.0,-0.0,62
MALAWI,2026-06,86,85,0.0,-0.0,-0.0,61
MALAWI,2026-07,92,91,-740952373.66,-740952373.66,0.0,66
MENA,2026-01,38,38,-0.0,0.0,0.0,38
MENA,2026-02,40,39,-0.0,0.0,0.0,52
MENA,2026-03,70,44,0.0,-0.0,-0.0,45
MENA,2026-04,69,39,0.0,0.0,-0.0,47
MENA,2026-05,72,48,0.1,0.1,0.0,52
MENA,2026-06,73,50,0.0,0.0,-0.0,52
MENA,2026-07,75,52,0.0,0.0,0.0,53
DRC,2026-01,51,51,-0.0,-0.0,0.0,51
DRC,2026-02,63,63,-0.0,-0.0,0.0,54
DRC,2026-03,82,70,0.0,-0.0,-0.0,51
DRC,2026-04,82,71,0.0,-0.0,-0.0,48
DRC,2026-05,82,71,0.0,-0.0,-0.0,47
DRC,2026-06,88,77,0.0,0.0,0.0,48
DRC,2026-07,88,73,-0.0,-0.0,0.0,54
ZATL,2026-01,68,56,-1.0,-1.0,-0.0,56
ZATL,2026-02,70,58,-0.0,-0.0,-0.0,41
ZATL,2026-03,71,62,-0.1,-0.1,0.0,46
ZATL,2026-04,72,62,1.1,1.1,0.0,46
ZATL,2026-05,72,65,0.0,0.0,0.0,48
ZATL,2026-06,75,68,0.0,0.0,0.0,46
ZATL,2026-07,76,69,-9334094.78,-9334094.78,0.0,39
