G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B10120,  Ord.Share Capital,Posting,Equity,Balance Sheet,Both,true,false,0,,
B15110,  Distr.Reser-Retained Inc,Posting,Equity,Balance Sheet,Both,true,false,0,,
B35420,  Deferred Tax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55430,  Interest Receivable,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55480,  Drs-Income Control,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55530,  Directors Drawings - Current year,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55550,  Deposits-Sundry,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55570,  Due to/from ZAAC,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60180,  NCBA Office Bank Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60110,  KENYA COMMERCIAL BANK,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70190,  Withholding tax 5 %,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60210,  SBM Bank Account-Office Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65110,  Other Receivables,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65150,  Fixed Deposit Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65180,  Debtors Prepaid other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65200,  Provision for Bad Debts,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65240,  VAT Receivable Debtor,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65290,  Withholding IncomeTax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70280,  Prov-Sundries,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70340,  CRS-Trade (Operating),Posting,Assets,Balance Sheet,Both,true,false,0,,
B75120,  Tax Provision-Other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B80120,  Fees Suspense A/c,Posting,Equity,Balance Sheet,Both,true,false,0,,
B80170,  VAT Control Account,Posting,Equity,Balance Sheet,Both,true,false,0,,
I10067,  AF Trust Fund,Posting,Income,Income Statement,Both,true,false,0,,
I10121,  Interest Income,Posting,Income,Income Statement,Both,true,false,0,,
I25029,  Other Staff Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25079,  Prem-Rental(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25141,  Prof.Fees-Audit Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25143,  Prof.Fees-Legal Tax Deduct,Posting,Income,Income Statement,Both,true,false,0,,
I25145,  Prof.Fees-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25360,    Summary:Gen Exp Other,Posting,Income,Income Statement,Both,true,false,0,,
I25401,    Insurance-P.I.,Posting,Income,Income Statement,Both,true,false,0,,
I25428,    Software Maintenance,Posting,Income,Income Statement,Both,true,false,0,,
I25358,    Subscriptions General,Posting,Income,Income Statement,Both,true,false,0,,
