G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
3510/200,Management expenses,Posting,,Balance Sheet,,true,false,0,,
3980/080,Insurance- Other,Posting,,Balance Sheet,,true,false,0,,
4650/200,Taxation expense,Posting,,Balance Sheet,,true,false,0,,
6823/000,Summary: cash at bank & on hand-Office,Posting,,Balance Sheet,,true,false,0,,
B55490,DUE TO/FROM ZAMARA HOLDING CO.,Posting,,Balance Sheet,,true,false,0,,
B65290,Withholding IncomeTax,Posting,,Balance Sheet,,true,false,0,,
B70280,Prov-Sundries,Posting,,Balance Sheet,,true,false,0,,
B80151,Prepayments,Posting,,Balance Sheet,,true,false,0,,
FXDIFF-PL,Forex difference (P&L at average vs closing),Posting,,Balance Sheet,,true,false,0,,
I25020,Temporary Staff-General,Posting,,Income Statement,,true,false,0,,
I25029,Other Staff Costs,Posting,,Income Statement,,true,false,0,,
I25079,Prem-Rental(EXTERNAL),Posting,,Income Statement,,true,false,0,,
I25181,Trav. Air Fares,Posting,,Income Statement,,true,false,0,,
I25193,Conference Attended by Us,Posting,,Income Statement,,true,false,0,,
I25294,Christmas Party,Posting,,Income Statement,,true,false,0,,
I25354,Equip-Maintenance,Posting,,Income Statement,,true,false,0,,
I25456,MV - Fuel Costs (non personnel),Posting,,Income Statement,,true,false,0,,
B10120,Share Capital,Posting,Owners Equity,Balance Sheet,,true,false,0,,
B15110,Retained Income,Posting,Owners Equity,Balance Sheet,,true,false,0,,
B35140,Fixed Assets - Motor Vehicles,Posting,Non-Current Assets,Balance Sheet,,true,false,0,,
B35160,Accum Dep. Motor vehicle,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B35170,Fixed Assets - Furniture & Fittings,Posting,Non-Current Assets,Balance Sheet,,true,false,0,,
B35200,Accum Depreciation - F&F,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B35210,Fixed Assets - Equipment,Posting,Non-Current Assets,Balance Sheet,,true,false,0,,
B35240,Accum Depreciation - Equipment,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B35350,Fixed Assets - Leasehold Improvement,Posting,Non-Current Assets,Balance Sheet,,true,false,0,,
B35370,Accum Depreciation - Leasehold Improv,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B35420,Deferred tax asset,Posting,Current Assets,Balance Sheet,,true,false,0,,
B55110,Receipts,Posting,Current Assets,Balance Sheet,,true,false,0,,
B55400,Prepayment - Insurance,Posting,Current Assets,Balance Sheet,,true,false,0,,
B55410,Prepayment - Rent,Posting,Current Assets,Balance Sheet,,true,false,0,,
B55480,Trade Receivables,Posting,Current Assets,Balance Sheet,,true,false,0,,
B55570,Intercompany,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B60190,Cash,Posting,Current Assets,Balance Sheet,,true,false,0,,
B60250,UBA Current Account,Posting,Current Assets,Balance Sheet,,true,false,0,,
B60260,UBA Dom Account,Posting,Current Assets,Balance Sheet,,true,false,0,,
B65270,Investment in Subsidiary- Stonebridge,Posting,Current Assets,Balance Sheet,,true,false,0,,
B70140,Pension - Payable ( Employer/EE),Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B70190,WHT Assets (Credit Notes),Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B70230,PAYE - Payable,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B70281,Provisions - Others,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B75120,Income Tax Payable,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B80110,Provisons - Bonus/13th Month,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
B80170,VAT Payable,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
I10060,Fee Income,Posting,Income,Income Statement,,true,false,0,,
I10123,Other Income,Posting,Income,Income Statement,,true,false,0,,
I25003,Emolument Pack - Medical Contr,Posting,Expenses,Income Statement,,true,false,0,,
I25009,Emolument Pack - Group Life,Posting,Expenses,Income Statement,,true,false,0,,
I25019,Emoluments - Bonus & 13th Month,Posting,Expenses,Income Statement,,true,false,0,,
I25026,Emolument Pack - Training External/Internal,Posting,Expenses,Income Statement,,true,false,0,,
I25034,Inter Company Expenses,Posting,Expenses,Income Statement,,true,false,0,,
I25072,Premises - Electricity,Posting,Expenses,Income Statement,,true,false,0,,
I25111,Printing & Stationery,Posting,Expenses,Income Statement,,true,false,0,,
I25141,Prof. Fees - Audit Fees,Posting,Expenses,Income Statement,,true,false,0,,
I25143,Prof. Fees - TAX,Posting,Expenses,Income Statement,,true,false,0,,
I25144,Prof. Fees - Legal,Posting,Expenses,Income Statement,,true,false,0,,
I25145,Prof. Fees - Others,Posting,Expenses,Income Statement,,true,false,0,,
I25182,Travel Airfare Fares Local,Posting,Expenses,Income Statement,,true,false,0,,
I25183,Travel Exps : Car Hire Sundry,Posting,Expenses,Income Statement,,true,false,0,,
I25185,Travel Airfare Fares Overseas,Posting,Expenses,Income Statement,,true,false,0,,
I25192,Entertainment: Conference Given by Us,Posting,Expenses,Income Statement,,true,false,0,,
I25203,Advertising & PR - General,Posting,Expenses,Income Statement,,true,false,0,,
I25232,Telephone-Variable,Posting,Expenses,Income Statement,,true,false,0,,
I25236,Communication- Courier Service Cost,Posting,Expenses,Income Statement,,true,false,0,,
I25261,Depreciation - MV,Posting,Expenses,Income Statement,,true,false,0,,
I25264,Depreciation - F&F,Posting,Expenses,Income Statement,,true,false,0,,
I25265,Depreciation,Posting,Expenses,Income Statement,,true,false,0,,
I25296,Entertainment: End of the Year Party,Posting,Expenses,Income Statement,,true,false,0,,
I25358,Subscriptions General,Posting,Expenses,Income Statement,,true,false,0,,
I25360,Bank Charges,Posting,Expenses,Income Statement,,true,false,0,,
I25367,General Expenses,Posting,Expenses,Income Statement,,true,false,0,,
I25401,Insurance - P.I.,Posting,Expenses,Income Statement,,true,false,0,,
I25402,Insurance - Directors & Officers,Posting,Expenses,Income Statement,,true,false,0,,
I25421,IT Cost - Toner,Posting,Expenses,Income Statement,,true,false,0,,
I25425,IT - Cost Hardware Maintenace,Posting,Expenses,Income Statement,,true,false,0,,
I25454,Motor Vehicle Expenses,Posting,Expenses,Income Statement,,true,false,0,,
I30001,Taxation expense,Posting,Expenses,Income Statement,,true,false,0,,
NG-ADVERTISINGPRSPONS,Advertising & PR - Sponsorship,Posting,Expenses,Income Statement,,true,false,0,,
NG-COMMUNICATIONINTER,Communication- Internet Cost,Posting,Expenses,Income Statement,,true,false,0,,
NG-CRSTRADEOPERATING,CRS-Trade (Operating),Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-DEFERREDTAXLIABILI,Deferred tax liabilities,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-EMOLUMENTPACKITFCO,Emolument Pack - ITF Contribution,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKNSITF,Emolument Pack - NSITF Contribution,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKOTHER,Emolument Pack - Others,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKPENSI,Emolument Pack - Pension Contr Employee,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKPENSI2,Emolument Pack - Pension Contr Employer,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKSALAR,Emolument Pack - Salaries,Posting,Expenses,Income Statement,,true,false,0,,
NG-EMOLUMENTPACKTEMPO,Emolument Pack - Temporary Staff Gen,Posting,Expenses,Income Statement,,true,false,0,,
NG-INSURANCEMV,Insurance - MV,Posting,Expenses,Income Statement,,true,false,0,,
NG-INSURANCEOTHERS,Insurance - Others,Posting,Expenses,Income Statement,,true,false,0,,
NG-INTERESTRECEIVED,Interest Received,Posting,Income,Income Statement,,true,false,0,,
NG-MANAGEMENTFEES,Management fees,Posting,Expenses,Income Statement,,true,false,0,,
NG-MCADMINFEES,M/C-Admin Fees,Posting,Income,Income Statement,,true,false,0,,
NG-OTHERLIABILITIES,Other Liabilities,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-OTHERRECEIVABLES,Other Receivables,Posting,Current Assets,Balance Sheet,,true,false,0,,
NG-PREMISESRENTSERVIC,Premises - Rent & Service Charge,Posting,Expenses,Income Statement,,true,false,0,,
NG-PREMISESREPAIRSMAI,Premises - Repairs & Maintenance,Posting,Expenses,Income Statement,,true,false,0,,
NG-PREPAYMENTOTHERS,Prepayment - Others,Posting,Current Assets,Balance Sheet,,true,false,0,,
NG-REVALUATIONSURPLUS,Revaluation Surplus Account,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-SWAREDEPRECIATION,S/ware Depreciation,Posting,Expenses,Income Statement,,true,false,0,,
NG-TAXATIONEDUCATIONT,Taxation - Education Tax,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-WHTASSETSCREDITNOT,WHT Assets -Credit Notes,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-WHTPAYABLES,WHT Payables,Posting,Current Liabilities,Balance Sheet,,true,false,0,,
NG-ZAMARACONSULTINACT,Zamara Consultin Actuaries Nig Ltd,Posting,Current Assets,Balance Sheet,,true,false,0,,
NG-TRAVELACCOMMODATIO,Travel & Accommodation,Posting,Expenses,Income Statement,,true,false,0,,
