G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B10120,Ord.Share Capital,Posting,Equity,Balance Sheet,Both,true,false,0,,
B15110,Distr.Reser-Retained Inc,Posting,Equity,Balance Sheet,Both,true,false,0,,
B30110,Head Office Receivable Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35130,Equipments-TZ Branch,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35140,MV-Cost Opening Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35160,MV Accum-Depr Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35170,Furn-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35200,Furn Accum-Depreciation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35210,Equip-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35240,Equip Accum-Depr,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35250,Comp Equip-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35290,Comp Equip- Accum Depreciation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35310,Comp SW-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35330,Goodwill-Accum. Amortisation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35340,Comp S/Ware Acc -Write Off,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35350,Leased Prem-Improvements,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35370,Lease Improv - Accum Ammortization,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35420,Deferred Tax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B40110,Investment in subsidiary - RWANDA,Posting,Assets,Balance Sheet,Both,true,false,0,,
B45110,Goodwill-at Cost,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55110,Other Receivable,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55130,Due from/to Directors,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55135,Accrued Income,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55140,  Other Debtor - Claims Receivab,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55150,Drs-Gen.Bad Debt Prov.,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55210,  Investment in Malawi,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55360,Deposits,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55420,Due to/from Malawi,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55430,  Interest Receivable,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55480,Drs-Income Control,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55481,  Staff Advance and Imprest,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55490,DUE TO/FROM ZAMARA HOLDING CO.,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55520,DUE TO/FROM UGANDA,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60090,EQUITY BANK,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60110,KENYA COMMERCIAL BANK,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60160,NCBA Bank-US$ OFFICE,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60180,NCBA Office Bank Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60190,PETTY CASH - OFFICE,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60210,SBM Bank Account-Office Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60260,UBA Office Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60270,NATIONAL BANK OF KENYA,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60310,SUNDEEP RAICHURA PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60320,ROBERT NJOROGE PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60330,JAY KOSGEI PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60340,NIKHIL DODHIA PREPARD CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60350,ADIL SULEMAN PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60360,ANTONY KILAVI PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60370,PAUL KAMOCHE PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60380,MICHAEL VAATI PRPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60390,RAYMOND MUTHAMA PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60400,KHALID OBULINJI PREPAID CARD,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60401,CBA CARD CENTRE,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60410,JAMBO JET- AIRTICKETS,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60420,Premium Finance A/C,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65110,Other Receivables - Disbursements,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65120,Due to/from Nigeria,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65130,Due from/to AFRIB Transactional,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65140,Dues to/from Rwanda,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65150,  Fixed Deposit Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65160,Placements,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65180,Debtors Prepaid other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65200,  Provision for Bad Debts,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65230,Tax Recoverable,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65240,  VAT Receivable Debtor,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65260,DUE FROM TANZANIA,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65290,Withholding IncomeTax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65350,INVENTORY ACCOUNT,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70130,Due to/from Dubai,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70140,  Zamara pension Scheme,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70141,Post retirement medical fund,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70142,ABSA LIFE CHECK OFF,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70150,  Management fees-Subsidiary ,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70160,DUE TO /From DRC,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70180,Due to/from C & P/AFFS,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70190,  Withholding tax 5 %,Posting,Assets,Balance Sheet,Both,true,false,0,,
