G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
7600/080,Ord.Share Capital,Posting,Expense,Income Statement,Both,true,false,0,,
7640/000,Distr.Reser-Retained Inc,Posting,Expense,Income Statement,Both,true,false,0,,
6210/000,Computer Software,Posting,Expense,Income Statement,Both,true,false,0,,
0068/000,KCB CLIENT(KES),Posting,Expense,Income Statement,Both,true,false,0,,
0068/001,KCB CLIENT(USD),Posting,Expense,Income Statement,Both,true,false,0,,
0068/002,KCB OFFICE(KES),Posting,Expense,Income Statement,Both,true,false,0,,
0068/003,KCB OFFICE(USD),Posting,Expense,Income Statement,Both,true,false,0,,
0068/004,KCB -FIXED DEPOSIT,Posting,Expense,Income Statement,Both,true,false,0,,
7380/080,Premiums payable,Posting,Expense,Income Statement,Both,true,false,0,,
6352/080,Due from/to ZARIB- Transactional,Posting,Expense,Income Statement,Both,true,false,0,,
6680/000,Interest Receivable,Posting,Expense,Income Statement,Both,true,false,0,,
7381/080,Premiums Receivable(GP),Posting,Expense,Income Statement,Both,true,false,0,,
6730/080,Drs-Income Control,Posting,Expense,Income Statement,Both,true,false,0,,
7550/000,Tax Provision-Other,Posting,Expense,Income Statement,Both,true,false,0,,
B55510,Drs - Control Commission,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65150,Call Deposit Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
I10003,Reinsurance  Commission - All,Posting,Income,Income Statement,Both,true,false,0,,
1020/080,Commission,Posting,Expense,Income Statement,Both,true,false,0,,
1040/080,Interest Income,Posting,Expense,Income Statement,Both,true,false,0,,
3000/080 ,Emol.Pack-Salaries,Posting,Expense,Income Statement,Both,true,false,0,,
3010/080,Emol.Pack-Other,Posting,Expense,Income Statement,Both,true,false,0,,
3020/080,Emol.Pack-Med.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3030/080,Emol.Pack-Pens.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3080/080,Co.Contrib-Life Assurance,Posting,Expense,Income Statement,Both,true,false,0,,
3240/020,Welfare-General,Posting,Expense,Income Statement,Both,true,false,0,,
3260/080,Training EXTERNAL,Posting,Expense,Income Statement,Both,true,false,0,,
3290/080,Other Staff Cost ,Posting,Expense,Income Statement,Both,true,false,0,,
'3380/080,Trav. Air Fares ,Posting,Expense,Income Statement,Both,true,false,0,,
3390/080,Trav. Accom. ,Posting,Expense,Income Statement,Both,true,false,0,,
3450/080,Entertainment-(IN TOWN),Posting,Expense,Income Statement,Both,true,false,0,,
3490/000,Entertainment-(OUT OF TOWN),Posting,Expense,Income Statement,Both,true,false,0,,
3610/080,Software Licence Fees,Posting,Expense,Income Statement,Both,true,false,0,,
3650/080,Telephone-Variable,Posting,Expense,Income Statement,Both,true,false,0,,
3690/080,Courier Services Cost,Posting,Expense,Income Statement,Both,true,false,0,,
3720/080,Printing-General,Posting,Expense,Income Statement,Both,true,false,0,,
3760/080,Stationery-General,Posting,Expense,Income Statement,Both,true,false,0,,
3790/080,Prem-Cleaning,Posting,Expense,Income Statement,Both,true,false,0,,
3800/080,Prem-Electricity,Posting,Expense,Income Statement,Both,true,false,0,,
3810/080,Prem-Security,Posting,Expense,Income Statement,Both,true,false,0,,
3820/080,Prem-Rates,Posting,Expense,Income Statement,Both,true,false,0,,
3880/080,Prem-Parking(EXTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3890/080,Prem-Rental(INTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3930/080,Bus.Advert-General,Posting,Expense,Income Statement,Both,true,false,0,,
3950/080,Sponsorship-General ,Posting,Expense,Income Statement,Both,true,false,0,,
3980/080,Insurance- Other,Posting,Expense,Income Statement,Both,true,false,0,,
4080/080,Prof.Fees-Audit fees,Posting,Expense,Income Statement,Both,true,false,0,,
4120/080,Prof.Fees-Other,Posting,Expense,Income Statement,Both,true,false,0,,
4190/080,Commissions - Lead Others,Posting,Expense,Income Statement,Both,true,false,0,,
4230/080,Subscriptions General,Posting,Expense,Income Statement,Both,true,false,0,,
4260/080,MV - Leasing Costs (non personnel),Posting,Expense,Income Statement,Both,true,false,0,,
4300/080,Bank Charges,Posting,Expense,Income Statement,Both,true,false,0,,
4310/080,Books & Periodicals,Posting,Expense,Income Statement,Both,true,false,0,,
4360/080,Summary:Gen Exp Other,Posting,Expense,Income Statement,Both,true,false,0,,
4530/080,Fin Charges Paid,Posting,Expense,Income Statement,Both,true,false,0,,
4650/200,Tax Expense,Posting,Expense,Income Statement,Both,true,false,0,,
