G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
0001/000,EQUITY BANK,Posting,Expense,Income Statement,Both,true,false,0,,
0068/000,KCB CLIENT,Posting,Expense,Income Statement,Both,true,false,0,,
6030/000,MV-Cost Opening Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6050/000,MV Accum-Depr Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6060/000,Furn-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6070/000,Furn&Fitt- Additions this year,Posting,Expense,Income Statement,Both,true,false,0,,
6090/000,Furn Accum-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
6100/000,Equip-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6110/000,Equip-Additions This Year,Posting,Expense,Income Statement,Both,true,false,0,,
6130/000,Equip Accum-Depr,Posting,Expense,Income Statement,Both,true,false,0,,
6140/000,Comp Equip-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6150/000,Comp Equip-Add This Year,Posting,Expense,Income Statement,Both,true,false,0,,
6180/000,Comp Equip Accum-Depr,Posting,Expense,Income Statement,Both,true,false,0,,
6200/000,Comp SW-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6210/000,Computer Software,Posting,Expense,Income Statement,Both,true,false,0,,
6240/000,Leased Prem-Improvements,Posting,Expense,Income Statement,Both,true,false,0,,
6250/000,Leased Prem-Improv this year,Posting,Expense,Income Statement,Both,true,false,0,,
6265/000,Lease Improv - Accum Ammortization,Posting,Expense,Income Statement,Both,true,false,0,,
6270/000,SoftWare Amortisation,Posting,Expense,Income Statement,Both,true,false,0,,
6341/000,Deferred Tax,Posting,Expense,Income Statement,Both,true,false,0,,
B55570,Due to/from ZAAC,Posting,Assets,Balance Sheet,Both,true,false,0,,
6352/000,Due from/to AFFSEA - Transactional,Posting,Expense,Income Statement,Both,true,false,0,,
6354/000,Fixed Deposit Account,Posting,Expense,Income Statement,Both,true,false,0,,
6355/000,PlacementS,Posting,Expense,Income Statement,Both,true,false,0,,
6357/000,Debtors Prepaid Other,Posting,Expense,Income Statement,Both,true,false,0,,
6359/000,Provision for Bad Debts,Posting,Expense,Income Statement,Both,true,false,0,,
6361/000,Due to/from Zamara Reinsurance,Posting,Expense,Income Statement,Both,true,false,0,,
6366/000,Investment In Subsidiaries,Posting,Expense,Income Statement,Both,true,false,0,,
6368/000,Withholding IncomeTax,Posting,Expense,Income Statement,Both,true,false,0,,
6370/000,AFFS(EA) Rental Control,Posting,Expense,Income Statement,Both,true,false,0,,
6470/000,Debtors Control - FPC,Posting,Expense,Income Statement,Both,true,false,0,,
B70141,Post retirement medical fund,Posting,Assets,Balance Sheet,Both,true,false,0,,
6500/000,Sundry Debtors - Clearing a/c,Posting,Expense,Income Statement,Both,true,false,0,,
6630/000,Other Receivables,Posting,Expense,Income Statement,Both,true,false,0,,
