Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
424,2026-04-30,,WB-SNAPSHOT,,424,B10120,  Ord.Share Capital,-25000000.0,0,25000000.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
425,2026-04-30,,WB-SNAPSHOT,,425,B15110,  Distr.Reser-Retained Inc,-133494468.71,0,133494468.71,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
426,2026-04-30,,WB-SNAPSHOT,,426,B35420,  Deferred Tax,4287361.0,4287361.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
427,2026-04-30,,WB-SNAPSHOT,,427,B55480,  Drs-Income Control,40891706.67,40891706.67,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
428,2026-04-30,,WB-SNAPSHOT,,428,B55550,  Deposits-Sundry,7230000.0,7230000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
429,2026-04-30,,WB-SNAPSHOT,,429,B55570,  Due to/from ZAAC,92114182.15,92114182.15,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
430,2026-04-30,,WB-SNAPSHOT,,430,B60180,  NCBA Office Bank Account,5060294.13,5060294.13,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
431,2026-04-30,,WB-SNAPSHOT,,431,B60110,  KENYA COMMERCIAL BANK,124361.25,124361.25,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
432,2026-04-30,,WB-SNAPSHOT,,432,B60210,  SBM Bank Account-Office Account,839012.0,839012.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
433,2026-04-30,,WB-SNAPSHOT,,433,B65110,  Other Receivables,150000.0,150000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
434,2026-04-30,,WB-SNAPSHOT,,434,B65150,  Fixed Deposit Account,15054303.0,15054303.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
435,2026-04-30,,WB-SNAPSHOT,,435,B65180,  Debtors Prepaid other,347795.52,347795.52,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
436,2026-04-30,,WB-SNAPSHOT,,436,B65200,  Provision for Bad Debts,-13093776.0,0,13093776.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
437,2026-04-30,,WB-SNAPSHOT,,437,B65240,  VAT Receivable Debtor,3373004.0,3373004.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
438,2026-04-30,,WB-SNAPSHOT,,438,B65290,  Withholding IncomeTax,4760686.75,4760686.75,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
439,2026-04-30,,WB-SNAPSHOT,,439,B70280,  Prov-Sundries,-433333.28,0,433333.28,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
440,2026-04-30,,WB-SNAPSHOT,,440,B70340,  CRS-Trade (Operating),-850329.0,0,850329.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
441,2026-04-30,,WB-SNAPSHOT,,441,B75120,  Tax Provision-Other,-764838.0,0,764838.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
442,2026-04-30,,WB-SNAPSHOT,,442,B80120,  Fees Suspense A/c,21218.42,21218.42,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
443,2026-04-30,,WB-SNAPSHOT,,443,B80170,  VAT Control Account,-5273025.97,0,5273025.97,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
444,2026-04-30,,WB-SNAPSHOT,,444,I10121,  Interest Income,-111488.75,0,111488.75,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
445,2026-04-30,,WB-SNAPSHOT,,445,I25141,  Prof.Fees-Audit Fees,438833.32,438833.32,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
446,2026-04-30,,WB-SNAPSHOT,,446,I25145,  Prof.Fees-Other,617900.0,617900.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
447,2026-04-30,,WB-SNAPSHOT,,447,I25360,    Summary:Gen Exp Other,2256614.68,2256614.68,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
448,2026-04-30,,WB-SNAPSHOT,,448,I25401,    Insurance-P.I.,1391180.32,1391180.32,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
449,2026-04-30,,WB-SNAPSHOT,,449,I25360,    Bank Charges,11807.5,11807.5,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
450,2026-04-30,,WB-SNAPSHOT,,450,I25358,    Subscriptions General,51000.0,51000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
