Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
616,2026-04-30,,WB-SNAPSHOT,,616,B35140,  MV-Cost Opening Balance,85650.0,85650.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
617,2026-04-30,,WB-SNAPSHOT,,617,B35160,  MV Accum-Depr Open Balance,-38887.52,0,38887.52,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
618,2026-04-30,,WB-SNAPSHOT,,618,B35210,  Equip-Cost Open Balance,18981.2,18981.2,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
619,2026-04-30,,WB-SNAPSHOT,,619,B35220,  Equip-Additions This Year,7952.0,7952.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
620,2026-04-30,,WB-SNAPSHOT,,620,B35240,  Equip Accum-Depr,-9857.98,0,9857.98,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
621,2026-04-30,,WB-SNAPSHOT,,621,B35170,  Furn-Cost Open Balance,9998.5,9998.5,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
622,2026-04-30,,WB-SNAPSHOT,,622,B35180,  Furn-Additions this year,11275.0,11275.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
623,2026-04-30,,WB-SNAPSHOT,,623,B35200,  Furn Accum-Depreciation,-2712.05,0,2712.05,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
624,2026-04-30,,WB-SNAPSHOT,,624,B35280,  Comp Equip-Additions,8660.0,8660.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
625,2026-04-30,,WB-SNAPSHOT,,625,B35290,Comp Equip- Accum Depreciation,-605.8,0,605.8,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
626,2026-04-30,,WB-SNAPSHOT,,626,B35350,  Leased Prem-Improvements,2920.0,2920.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
627,2026-04-30,,WB-SNAPSHOT,,627,B35370,  Lease Improv - Accum Ammortization,-162.52,0,162.52,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
628,2026-04-30,,WB-SNAPSHOT,,628,B55570,  Due to/from ZAAC,-57962.8,0,57962.8,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
629,2026-04-30,,WB-SNAPSHOT,,629,B55480,  Drs-Income Control,337492.26,337492.26,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
630,2026-04-30,,WB-SNAPSHOT,,630,B55360,  Deposits,83875.0,83875.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
631,2026-04-30,,WB-SNAPSHOT,,631,B60090,  EQUITY BANK,72959.95,72959.95,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
632,2026-04-30,,WB-SNAPSHOT,,632,B60430,RAW BANK,21894.75,21894.75,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
633,2026-04-30,,WB-SNAPSHOT,,633,B60190,  Petty Cash - Kinshasa,1818.9,1818.9,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
