Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
451,2026-04-30,,WB-SNAPSHOT,,451,6030/000,MV-Cost Opening Balance,245245040.02,245245040.02,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
452,2026-04-30,,WB-SNAPSHOT,,452,6040/000,MV-Depr.Prov.,-110432343.91,0,110432343.91,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
453,2026-04-30,,WB-SNAPSHOT,,453,6060/000,Furn-Cost Open Balance,5630104.08,5630104.08,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
454,2026-04-30,,WB-SNAPSHOT,,454,6070/000,Furn-Additions this year,25096110.28,25096110.28,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
455,2026-04-30,,WB-SNAPSHOT,,455,6080/000,Furn-Depr Prov.,-25017011.53,0,25017011.53,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
456,2026-04-30,,WB-SNAPSHOT,,456,6090/000,Furn Accum-Depreciation,-311514.53,0,311514.53,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
457,2026-04-30,,WB-SNAPSHOT,,457,6110/000,Equip-Additions This Year,46755039.9,46755039.9,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
458,2026-04-30,,WB-SNAPSHOT,,458,6130/000,Equip Accum-Depr,-28098002.4,0,28098002.4,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
459,2026-04-30,,WB-SNAPSHOT,,459,6140/000,Comp Equip-Cost Open Balance,8467841.34,8467841.34,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
460,2026-04-30,,WB-SNAPSHOT,,460,6150/000,Comp Equip-Add This Year,40731665.96,40731665.96,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
