Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
1,2026-01-31,,WB-2026-01,,1,B10120,Ord.Share Capital,-70000000.0,0,70000000.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
2,2026-01-31,,WB-2026-01,,2,B15110,Distr.Reser-Retained Inc,-206007163.6,0,206007163.6,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
3,2026-01-31,,WB-2026-01,,3,B35140,MV-Cost Opening Balance,29200000.0,29200000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
4,2026-01-31,,WB-2026-01,,4,B35160,MV Accum-Depr Open Balance,-15177087.63,0,15177087.63,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
5,2026-01-31,,WB-2026-01,,5,B35170,Furn-Cost Open Balance,9756000.0,9756000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
6,2026-01-31,,WB-2026-01,,6,B35200,Furn Accum-Depreciation,-5481396.0,0,5481396.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
7,2026-01-31,,WB-2026-01,,7,B35210,Equip-Cost Open Balance,26516322.08,26516322.08,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
8,2026-01-31,,WB-2026-01,,8,B35240,Equip Accum-Depr,-6181716.0,0,6181716.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
9,2026-01-31,,WB-2026-01,,9,B35350,Leased Prem-Improvements,3690042.0,3690042.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
10,2026-01-31,,WB-2026-01,,10,B35370,Leased Prem-Bldg Depr. Prov.,-3690042.0,0,3690042.0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
11,2026-01-31,,WB-2026-01,,11,B35420,Deferred Tax,17000.0,17000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
12,2026-01-31,,WB-2026-01,,12,B55110,Other Receivable,64766129.06,64766129.06,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
13,2026-01-31,,WB-2026-01,,13,B55400,Drs Prepaid - Insurance Other,2941854.86,2941854.86,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
14,2026-01-31,,WB-2026-01,,14,B55410,Drs Prepaid - Other,14683417.0,14683417.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
15,2026-01-31,,WB-2026-01,,15,B55480,Drs-Income Control,211770408.75,211770408.75,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
16,2026-01-31,,WB-2026-01,,16,B55570,Due to/from ZAAC,-134282588.22,0,134282588.22,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
17,2026-01-31,,WB-2026-01,,17,B60190,PETTY CASH - OFFICE,19328253.25,19328253.25,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
18,2026-01-31,,WB-2026-01,,18,B60250,UBA Current Account,22253967.15,22253967.15,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
19,2026-01-31,,WB-2026-01,,19,B60260,UBA Dom Account,114509307.64,114509307.64,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
20,2026-01-31,,WB-2026-01,,20,B65270,Investment in Subsidiary Co,13500000.0,13500000.0,0,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
21,2026-01-31,,WB-2026-01,,21,B70140,Zamara pension Scheme,-1309437.02,0,1309437.02,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
22,2026-01-31,,WB-2026-01,,22,B70190,Withholding tax 5 %,-376872.1,0,376872.1,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
23,2026-01-31,,WB-2026-01,,23,B70230,Paymaster General (PAYE,-95656.47,0,95656.47,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
24,2026-01-31,,WB-2026-01,,24,B70281,Other Provisions,-10868437.28,0,10868437.28,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
25,2026-01-31,,WB-2026-01,,25,B80110,Bonus(General provision),-19378727.21,0,19378727.21,WORKBOOK,,,0,,,,,WORKBOOK_LOAD,false,,
