Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
1,2026-01-31,,WB-2026-01,,1,B10120,Ord.Share Capital,-25000000.0,0,25000000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
2,2026-01-31,,WB-2026-01,,2,B15110,Distr.Reser-Retained Inc,-1007025450.28,0,1007025450.28,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
3,2026-01-31,,WB-2026-01,,3,B30110,Head Office Receivable Account,-0.05,0,0.05,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
4,2026-01-31,,WB-2026-01,,4,B35130,Equipments-TZ Branch,1693186.0,1693186.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
5,2026-01-31,,WB-2026-01,,5,B35140,MV-Cost Opening Balance,619922.5,619922.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
6,2026-01-31,,WB-2026-01,,6,B35160,MV Accum-Depr Open Balance,-619922.5,0,619922.5,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
7,2026-01-31,,WB-2026-01,,7,B35170,Furn-Cost Open Balance,65634980.79,65634980.79,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
8,2026-01-31,,WB-2026-01,,8,B35200,Furn Accum-Depreciation,-45995950.87,0,45995950.87,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
9,2026-01-31,,WB-2026-01,,9,B35210,Equip-Cost Open Balance,88428699.83,88428699.83,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
10,2026-01-31,,WB-2026-01,,10,B35240,Equip Accum-Depr,-68625400.61,0,68625400.61,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
11,2026-01-31,,WB-2026-01,,11,B35250,Comp Equip-Cost Open Balance,70038125.02,70038125.02,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
12,2026-01-31,,WB-2026-01,,12,B35290,Comp Equip- Accum Depreciation,-49005471.17,0,49005471.17,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
13,2026-01-31,,WB-2026-01,,13,B35310,Comp SW-Cost Open Balance,122389634.21,122389634.21,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
14,2026-01-31,,WB-2026-01,,14,B35330,Goodwill-Accum. Amortisation,-2406005.21,0,2406005.21,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
15,2026-01-31,,WB-2026-01,,15,B35340,Comp S/Ware Acc -Write Off,-99080976.21,0,99080976.21,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
16,2026-01-31,,WB-2026-01,,16,B35350,Leased Prem-Improvements,55790362.29,55790362.29,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
17,2026-01-31,,WB-2026-01,,17,B35370,Lease Improv - Accum Ammortization,-17392757.71,0,17392757.71,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
18,2026-01-31,,WB-2026-01,,18,B35420,Deferred Tax,15764930.24,15764930.24,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
