Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
1,2026-01-31,,WB-2026-01,,1,B10120,Share Capital,-10000000.0,0,10000000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
2,2026-01-31,,WB-2026-01,,2,B15110,Distr.Reser-Retained Inc,-30127713.66,0,30127713.66,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
3,2026-01-31,,WB-2026-01,,3,B40110,Investment in subsidiary - RWANDA,12460227.25,12460227.25,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
4,2026-01-31,,WB-2026-01,,4,B55111,Investment in ZAAC Kenya,658920570.0,658920570.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
5,2026-01-31,,WB-2026-01,,5,B55112,Investment in ZARIB Kenya,311079606.0,311079606.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
6,2026-01-31,,WB-2026-01,,6,B55113,Investment in ZAAC Nigeria,66350142.31,66350142.31,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
7,2026-01-31,,WB-2026-01,,7,B55114,INVESTMENT IN DRC,80407117.66,80407117.66,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
8,2026-01-31,,WB-2026-01,,8,B55115,INVESTMENT IN MENA,39655180.36,39655180.36,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
9,2026-01-31,,WB-2026-01,,9,B55117,DUE TO/FRO ZAMARA MENA,1176799.6,1176799.6,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
10,2026-01-31,,WB-2026-01,,10,B55118,Investment in associate-Uganda,15969831.66,15969831.66,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
11,2026-01-31,,WB-2026-01,,11,B55210,Investment in Malawi,109514478.0,109514478.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
12,2026-01-31,,WB-2026-01,,12,B55340,Interest Receivable,325312.92,325312.92,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
13,2026-01-31,,WB-2026-01,,13,B55480,Drs-Income Control,1.0,1.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
14,2026-01-31,,WB-2026-01,,14,B55540,Due from/(to) ESOP,102381579.3,102381579.3,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
15,2026-01-31,,WB-2026-01,,15,B55570,Due to/from ZAAC,-253441026.62,0,253441026.62,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
16,2026-01-31,,WB-2026-01,,16,B60090,Equity Bank,1500.58,1500.58,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
17,2026-01-31,,WB-2026-01,,17,B60110,KCB BANK,45290.61,45290.61,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
18,2026-01-31,,WB-2026-01,,18,B60180,Bank account NCBA,4456734.91,4456734.91,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
19,2026-01-31,,WB-2026-01,,19,B65130,Due from/to AFRIB Transactional,-99419821.1,0,99419821.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
20,2026-01-31,,WB-2026-01,,20,B65150,Fixed Deposit Account,4500000.0,4500000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
21,2026-01-31,,WB-2026-01,,21,B65290,Withholding IncomeTax,260628.94,260628.94,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
22,2026-01-31,,WB-2026-01,,22,B70111,Due to ZAAC Shareholders,-647839209.0,0,647839209.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
23,2026-01-31,,WB-2026-01,,23,B70112,Due to ZARIB Shareholders,-327810347.0,0,327810347.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
24,2026-01-31,,WB-2026-01,,24,B70113,Due to ZAMARA NIGERIA Shareholders,-33333333.0,0,33333333.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
25,2026-01-31,,WB-2026-01,,25,B70160,DUE TO /From DRC,1387480.02,1387480.02,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
26,2026-01-31,,WB-2026-01,,26,B70280,Prov-Sundries,-1439443.61,0,1439443.61,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
27,2026-01-31,,WB-2026-01,,27,B70340,CRS-Trade (Operating),-5838164.0,0,5838164.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
28,2026-01-31,,WB-2026-01,,28,B75100,Tax liability,-8270.0,0,8270.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
29,2026-01-31,,WB-2026-01,,29,B80170,VAT Control Account,238051.2,238051.2,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
30,2026-01-31,,WB-2026-01,,30,I10121,Interest Income,-28091.0,0,28091.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
31,2026-01-31,,WB-2026-01,,31,I25182,Prof.Fees,154166.67,154166.67,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
32,2026-01-31,,WB-2026-01,,32,I25360,Bank Charges,720.0,720.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
33,2026-02-28,,WB-2026-02,,33,B55340,Interest Receivable,25372.6,25372.6,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
34,2026-02-28,,WB-2026-02,,34,B55540,Due from/(to) ESOP,-500000.0,0,500000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
35,2026-02-28,,WB-2026-02,,35,B60180,Bank account NCBA,499280.0,499280.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
36,2026-02-28,,WB-2026-02,,36,B70280,Prov-Sundries,-154166.67,0,154166.67,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
37,2026-02-28,,WB-2026-02,,37,I10121,Interest Income,-25372.6,0,25372.6,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
38,2026-02-28,,WB-2026-02,,38,I25182,Prof.Fees,154166.67,154166.67,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
39,2026-02-28,,WB-2026-02,,39,I25360,Bank Charges,720.0,720.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
40,2026-03-31,,WB-2026-03,,40,B55117,DUE TO/FRO ZAMARA MENA,808915.23,808915.23,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
41,2026-03-31,,WB-2026-03,,41,B55570,Due to/from ZAAC,-13416090.72,0,13416090.72,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
42,2026-03-31,,WB-2026-03,,42,B60180,Bank account NCBA,-4030574.0,0,4030574.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
43,2026-03-31,,WB-2026-03,,43,B65130,Due from/to AFRIB Transactional,-5979878.11,0,5979878.11,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
44,2026-03-31,,WB-2026-03,,44,B70160,DUE TO /From DRC,396560.0,396560.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
45,2026-03-31,,WB-2026-03,,45,B70280,Prov-Sundries,1334744.5,1334744.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
46,2026-03-31,,WB-2026-03,,46,B70340,CRS-Trade (Operating),4895329.11,4895329.11,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
47,2026-03-31,,WB-2026-03,,47,I25182,Prof.Fees,15806130.14,15806130.14,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
48,2026-03-31,,WB-2026-03,,48,I25360,Bank Charges,-1440.0,0,1440.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
49,2026-03-31,,WB-2026-03,,49,I25360.2,General expense,6820.0,6820.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
50,2026-03-31,,WB-2026-03,,50,I25367,Summary:Gen Exp Other,179483.85,179483.85,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
51,2026-04-30,,WB-2026-04,,51,B55340,Interest Receivable,55276.03,55276.03,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
52,2026-04-30,,WB-2026-04,,52,B55570,Due to/from ZAAC,-2180571.35,0,2180571.35,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
53,2026-04-30,,WB-2026-04,,53,B60180,Bank account NCBA,-783535.85,0,783535.85,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
54,2026-04-30,,WB-2026-04,,54,B65130,Due from/to AFRIB Transactional,-942834.89,0,942834.89,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
55,2026-04-30,,WB-2026-04,,55,B70280,Prov-Sundries,-35433.84,0,35433.84,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
56,2026-04-30,,WB-2026-04,,56,B70340,CRS-Trade (Operating),379655.7,379655.7,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
57,2026-04-30,,WB-2026-04,,57,I10121,Interest Income,-55276.03,0,55276.03,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
58,2026-04-30,,WB-2026-04,,58,I25182,Prof.Fees,3549753.99,3549753.99,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
59,2026-04-30,,WB-2026-04,,59,I25291,Entertainment-(IN TOWN),11699.99,11699.99,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
60,2026-04-30,,WB-2026-04,,60,I25360.2,General expense,1266.25,1266.25,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
61,2026-05-31,,WB-2026-05,,61,B55340,Interest Receivable,28091.1,28091.1,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
62,2026-05-31,,WB-2026-05,,62,B55540,Due from/(to) ESOP,-1608803.0,0,1608803.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
63,2026-05-31,,WB-2026-05,,63,B55570,Due to/from ZAAC,-396555.96,0,396555.96,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
64,2026-05-31,,WB-2026-05,,64,B60180,Bank account NCBA,1567561.17,1567561.17,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
65,2026-05-31,,WB-2026-05,,65,B65130,Due from/to AFRIB Transactional,-687775.0,0,687775.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
66,2026-05-31,,WB-2026-05,,66,B70280,Prov-Sundries,-154166.67,0,154166.67,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
67,2026-05-31,,WB-2026-05,,67,B70340,CRS-Trade (Operating),392479.83,392479.83,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
68,2026-05-31,,WB-2026-05,,68,I10121,Interest Income,-28091.1,0,28091.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
69,2026-05-31,,WB-2026-05,,69,I25182,Prof.Fees,886194.63,886194.63,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
70,2026-05-31,,WB-2026-05,,70,I25360.2,General expense,180548.85,180548.85,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
71,2026-05-31,,WB-2026-05,,71,I25367,Summary:Gen Exp Other,-179483.85,0,179483.85,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
72,2026-06-30,,WB-2026-06,,72,B55340,Interest Receivable,27184.93,27184.93,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
73,2026-06-30,,WB-2026-06,,73,B55570,Due to/from ZAAC,-354563.55,0,354563.55,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
74,2026-06-30,,WB-2026-06,,74,B60180,Bank account NCBA,-720.0,0,720.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
75,2026-06-30,,WB-2026-06,,75,B65130,Due from/to AFRIB Transactional,-186445.0,0,186445.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
76,2026-06-30,,WB-2026-06,,76,B70280,Prov-Sundries,-154166.67,0,154166.67,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
77,2026-06-30,,WB-2026-06,,77,B75100,Tax liability,186445.0,186445.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
78,2026-06-30,,WB-2026-06,,78,I10121,Interest Income,-27184.93,0,27184.93,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
79,2026-06-30,,WB-2026-06,,79,I25182,Prof.Fees,508730.22,508730.22,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
80,2026-06-30,,WB-2026-06,,80,I25360.2,General expense,720.0,720.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
