period,company_name,statement_line,days_past_due,amount_kes
2026-04,ZARIB,General,>365,56556.79
2026-04,ZARIB,General,240-365,501919.5
2026-04,ZARIB,General,181-240,532588.12
2026-04,ZARIB,Medical,>365,6343054.74
2026-04,ZARIB,Medical,240-365,109395.88
2026-04,ZARIB,Medical,181-240,206994.79
2026-04,ZARIB,Grouplife,>365,-266912.37
2026-04,ZARIB,Grouplife,240-365,358130.81
2026-04,ZARIB,Grouplife,181-240,9467.1
2026-04,ZARIB,Special Projects,>365,35274890.0
2026-04,ZARIB,HOFF ZARIB,>365,1351965.55
2026-04,ZARIB,HOFF ZARIB,240-365,907189.19
2026-04,ZARIB,HOFF ZARIB,181-240,390656.17
2026-04,ZAAC,Actuarial Fees,Total (ageing to confirm),41958779.0
2026-04,ZAAC,Multicarrier - BAS,Total (ageing to confirm),25098488.0
2026-04,ZAAC,Multicarrier - ZFRF,Total (ageing to confirm),3126406.0
