report_line_code,period,amount_budget_kes
zaac_revenue,2026-01,102086257.45
cp_revenue,2026-01,0.0
zarib_revenue,2026-01,439354728.0
zhl_interest,2026-01,28091.0
zamre_revenue,2026-01,4132429.0
zarinet_revenue,2026-01,32538247.45
mena_revenue,2026-01,6111234.0
personnel_costs,2026-01,-114583333.33
travelling,2026-01,-3166666.67
entertainment,2026-01,-2750000.0
it_costs,2026-01,-6500000.0
communications,2026-01,-1105682.4
printing_stationery,2026-01,-750000.0
premises,2026-01,-7802000.0
advertising_pr,2026-01,-2000000.0
insurance,2026-01,-3456919.78
professional_fees,2026-01,-3604814.33
depreciation,2026-01,-5736281.34
motor_vehicle,2026-01,-1820000.67
general_expenses,2026-01,-5429459.67
finance_costs,2026-01,-589736.42
bad_debt_provision,2026-01,0.0
zamre_expense,2026-01,-3247960.0
zarinet_expense,2026-01,-24368697.88
mena_expense,2026-01,-5103685.0
zaac_revenue,2026-02,219283602.6
cp_revenue,2026-02,8899885.69
zarib_revenue,2026-02,521991675.91
zhl_interest,2026-02,50625.0
zamre_revenue,2026-02,6486043.0
zarinet_revenue,2026-02,72405456.63
mena_revenue,2026-02,11450833.33
personnel_costs,2026-02,-207330657.69
travelling,2026-02,-3858796.46
entertainment,2026-02,-3769779.2
it_costs,2026-02,-5572244.14
communications,2026-02,-1175919.42
printing_stationery,2026-02,-1006838.76
premises,2026-02,-14707268.76
advertising_pr,2026-02,-3266840.74
insurance,2026-02,-5691718.56
professional_fees,2026-02,-9204756.66
depreciation,2026-02,-11031805.73
motor_vehicle,2026-02,-2849882.0
general_expenses,2026-02,-6837993.02
finance_costs,2026-02,-308953.88
bad_debt_provision,2026-02,0.0
zamre_expense,2026-02,-6101728.0
zarinet_expense,2026-02,-61729968.46
mena_expense,2026-02,-13965323.54
zaac_revenue,2026-03,346807744.14
cp_revenue,2026-03,13349828.55
zarib_revenue,2026-03,608864785.0
zhl_interest,2026-03,50625.0
zamre_revenue,2026-03,23612272.0
zarinet_revenue,2026-03,118693494.03
mena_revenue,2026-03,34352499.68
personnel_costs,2026-03,-313553430.17
travelling,2026-03,-10416631.27
entertainment,2026-03,-8289031.64
it_costs,2026-03,-23189594.94
communications,2026-03,-3573089.38
printing_stationery,2026-03,-1701786.6
premises,2026-03,-21207309.76
advertising_pr,2026-03,-7127315.84
insurance,2026-03,-8626367.39
professional_fees,2026-03,-23295102.99
depreciation,2026-03,-16934444.84
motor_vehicle,2026-03,-5834817.13
general_expenses,2026-03,-16778916.71
finance_costs,2026-03,-1385356.97
bad_debt_provision,2026-03,0.0
zamre_expense,2026-03,-9806239.85
zarinet_expense,2026-03,-95783966.6
mena_expense,2026-03,-21675607.97
zaac_revenue,2026-04,457075017.03
cp_revenue,2026-04,17799771.41
zarib_revenue,2026-04,799160737.53
zhl_interest,2026-04,101249.0
zamre_revenue,2026-04,27898950.0
zarinet_revenue,2026-04,166405877.14
mena_revenue,2026-04,45790294.67
personnel_costs,2026-04,-432136763.5
travelling,2026-04,-15253297.93
entertainment,2026-04,-10789766.81
it_costs,2026-04,-30983401.18
communications,2026-04,-4678771.58
printing_stationery,2026-04,-2390276.38
premises,2026-04,-28707310.19
advertising_pr,2026-04,-11868540.76
insurance,2026-04,-12804422.34
professional_fees,2026-04,-19855824.81
depreciation,2026-04,-22704170.91
motor_vehicle,2026-04,-9020433.13
general_expenses,2026-04,-25931953.14
finance_costs,2026-04,-2975093.39
bad_debt_provision,2026-04,0.0
zamre_expense,2026-04,-15158545.85
zarinet_expense,2026-04,-123429175.15
mena_expense,2026-04,-37282927.71
zaac_revenue,2026-05,568773143.32
cp_revenue,2026-05,22249714.27
zarib_revenue,2026-05,866976023.0
zhl_interest,2026-05,125000.0
zamre_revenue,2026-05,31237166.0
zarinet_revenue,2026-05,214911630.68
mena_revenue,2026-05,57351952.92
personnel_costs,2026-05,-546720096.6
travelling,2026-05,-18919964.81
entertainment,2026-05,-18789766.69
it_costs,2026-05,-47133400.91
communications,2026-05,-5784453.6
printing_stationery,2026-05,-3110276.85
premises,2026-05,-35707310.41
advertising_pr,2026-05,-15233540.37
insurance,2026-05,-17020902.75
professional_fees,2026-05,-25881226.9
depreciation,2026-05,-28540353.29
motor_vehicle,2026-05,-11075600.0
general_expenses,2026-05,-29055019.51
finance_costs,2026-05,-3664830.14
bad_debt_provision,2026-05,0.0
zamre_expense,2026-05,-19330430.0
zarinet_expense,2026-05,-150788653.98
mena_expense,2026-05,-40694115.35
zaac_revenue,2026-06,699688515.18
cp_revenue,2026-06,26699657.12
zarib_revenue,2026-06,941903133.3
zhl_interest,2026-06,150000.0
zamre_revenue,2026-06,35613457.0
zarinet_revenue,2026-06,259691712.97
mena_revenue,2026-06,68646327.0
personnel_costs,2026-06,-646303430.17
travelling,2026-06,-24586631.26
entertainment,2026-06,-41175751.87
it_costs,2026-06,-60633401.18
communications,2026-06,-6700136.39
printing_stationery,2026-06,-3960276.38
premises,2026-06,-42707310.19
advertising_pr,2026-06,-18233540.76
insurance,2026-06,-20466170.72
professional_fees,2026-06,-30148602.99
depreciation,2026-06,-34597599.41
motor_vehicle,2026-06,-13280766.46
general_expenses,2026-06,-37239186.49
finance_costs,2026-06,-4257899.55
bad_debt_provision,2026-06,0.0
zamre_expense,2026-06,-24976830.0
zarinet_expense,2026-06,-195851535.3
mena_expense,2026-06,-48782681.85
