company_name,statement_line_code,period,amount_budget_kes
C&P,general_expenses,2026-01,500000.0
C&P,insurance,2026-01,359652.0
C&P,professional_fees,2026-01,32981.0
DRC,advertising_pr,2026-01,277059.67
DRC,communications,2026-01,4064.45
DRC,depreciation,2026-01,369043.48
DRC,entertainment,2026-01,4726.95
DRC,general_expenses,2026-01,901812.28
DRC,it_costs,2026-01,148697.72
DRC,insurance_commissions,2026-01,4255673.07
DRC,management_expense,2026-01,165964.84
DRC,motor_vehicle_expenses,2026-01,277283.21
DRC,personnel_costs,2026-01,2582471.74
DRC,premises,2026-01,1090638.27
DRC,professional_fees,2026-01,804616.5
DRC,travelling,2026-01,543551.78
MALAWI,advertising_pr,2026-01,398226.43
MALAWI,communications,2026-01,65308.83
MALAWI,depreciation,2026-01,1034614.47
MALAWI,general_expenses,2026-01,170446.81
MALAWI,insurance,2026-01,264706.89
MALAWI,management_expense,2026-01,1427543.37
MALAWI,motor_vehicle_expenses,2026-01,85628.8
MALAWI,pension_admin_fee,2026-01,17695635.0
MALAWI,personnel_costs,2026-01,4068631.98
MALAWI,premises,2026-01,364480.28
MALAWI,printing_stationery,2026-01,85949.38
MALAWI,professional_fees,2026-01,143714.43
MALAWI,travelling,2026-01,74081.66
MENA,actuarial_fees,2026-01,6111234.0
MENA,it_costs,2026-01,324765.0
MENA,personnel_costs,2026-01,4598920.0
MENA,premises,2026-01,180000.0
NIGERIA,actuarial_fees,2026-01,4365903.57
NIGERIA,communications,2026-01,10630.84
NIGERIA,depreciation,2026-01,114197.18
NIGERIA,general_expenses,2026-01,65216.71
NIGERIA,insurance,2026-01,58250.88
NIGERIA,management_expense,2026-01,484258.17
NIGERIA,personnel_costs,2026-01,2120836.95
NIGERIA,premises,2026-01,137204.23
NIGERIA,printing_stationery,2026-01,1583.12
NIGERIA,professional_fees,2026-01,102206.55
NIGERIA,travelling,2026-01,272282.38
RWANDA,actuarial_fees,2026-01,500000.0
RWANDA,communications,2026-01,106297.65
RWANDA,depreciation,2026-01,301182.16
RWANDA,general_expenses,2026-01,178572.29
RWANDA,it_costs,2026-01,100711.11
RWANDA,insurance,2026-01,128753.66
RWANDA,insurance_commissions,2026-01,5621035.81
RWANDA,motor_vehicle_expenses,2026-01,66375.31
RWANDA,other_income,2026-01,100000.0
RWANDA,personnel_costs,2026-01,3418010.66
RWANDA,premises,2026-01,244331.75
RWANDA,printing_stationery,2026-01,62257.78
RWANDA,travelling,2026-01,25607.63
ZAAC,actuarial_fees,2026-01,20458804.0
ZAAC,advertising_pr,2026-01,1854224.12
ZAAC,communications,2026-01,654280.2
ZAAC,depreciation,2026-01,3735960.35
ZAAC,entertainment,2026-01,1514014.94
ZAAC,finance_costs,2026-01,528069.75
ZAAC,general_expenses,2026-01,2928659.69
ZAAC,it_costs,2026-01,6075611.18
ZAAC,insurance,2026-01,1785659.37
ZAAC,motor_vehicle_expenses,2026-01,1120000.0
ZAAC,pension_admin_fee,2026-01,41885100.0
ZAAC,personnel_costs,2026-01,63359519.06
ZAAC,premises,2026-01,3802041.44
ZAAC,printing_stationery,2026-01,416104.61
ZAAC,professional_fees,2026-01,2929500.0
ZAAC,retail_income,2026-01,12665173.45
ZAAC,travelling,2026-01,2866279.76
ZAAC,umbrella_fund,2026-01,27077180.0
ZAMRE,advertising_pr,2026-01,28402.0
ZAMRE,communications,2026-01,10597.0
ZAMRE,entertainment,2026-01,90000.0
ZAMRE,finance_costs,2026-01,1600.0
ZAMRE,general_expenses,2026-01,44886.0
ZAMRE,insurance_commissions,2026-01,4132429.0
ZAMRE,motor_vehicle_expenses,2026-01,18000.0
ZAMRE,personnel_costs,2026-01,2900000.0
ZAMRE,travelling,2026-01,154475.0
ZARIB,advertising_pr,2026-01,145775.88
ZARIB,communications,2026-01,451402.2
ZARIB,depreciation,2026-01,2000321.0
ZARIB,entertainment,2026-01,1235985.06
ZARIB,finance_costs,2026-01,61666.67
ZARIB,general_expenses,2026-01,1999999.98
ZARIB,it_costs,2026-01,424388.82
ZARIB,insurance,2026-01,1311608.41
ZARIB,insurance_commissions,2026-01,434021395.0
ZARIB,motor_vehicle_expenses,2026-01,700000.67
ZARIB,other_income,2026-01,5333333.0
ZARIB,personnel_costs,2026-01,51223814.28
ZARIB,premises,2026-01,3999958.56
ZARIB,printing_stationery,2026-01,333895.39
ZARIB,professional_fees,2026-01,488333.33
ZARIB,travelling,2026-01,300386.9
ZATL,communications,2026-01,18369.68
ZATL,depreciation,2026-01,11842.83
ZATL,general_expenses,2026-01,57112.95
ZATL,it_costs,2026-01,729.46
ZATL,insurance,2026-01,38240.61
ZATL,management_expense,2026-01,115283.32
ZATL,motor_vehicle_expenses,2026-01,2662.27
ZATL,personnel_costs,2026-01,589128.14
ZATL,premises,2026-01,94909.99
ZATL,printing_stationery,2026-01,55109.03
ZATL,professional_fees,2026-01,33278.4
ZHL,general_expenses,2026-01,800.0
ZHL,other_income,2026-01,28091.0
ZHL,professional_fees,2026-01,154000.0
C&P,finance_costs,2026-02,800.0
C&P,general_expenses,2026-02,728535.52
C&P,insurance,2026-02,720524.78
C&P,pension_admin_fee,2026-02,8899885.69
C&P,professional_fees,2026-02,332592.33
DRC,advertising_pr,2026-02,1316666.67
DRC,communications,2026-02,316666.67
DRC,depreciation,2026-02,701265.0
DRC,entertainment,2026-02,316666.67
DRC,general_expenses,2026-02,1766666.67
DRC,it_costs,2026-02,350000.0
DRC,insurance,2026-02,316666.67
DRC,insurance_commissions,2026-02,7997650.0
DRC,management_expense,2026-02,331929.67
DRC,motor_vehicle_expenses,2026-02,570000.0
DRC,personnel_costs,2026-02,5166666.67
DRC,premises,2026-02,2133333.33
DRC,printing_stationery,2026-02,316666.67
DRC,professional_fees,2026-02,1583333.33
DRC,travelling,2026-02,950000.0
MALAWI,advertising_pr,2026-02,459655.26
MALAWI,communications,2026-02,128304.83
MALAWI,depreciation,2026-02,2817967.17
MALAWI,general_expenses,2026-02,3220450.22
MALAWI,it_costs,2026-02,1500000.0
MALAWI,insurance,2026-02,404235.76
MALAWI,management_expense,2026-02,2855086.75
MALAWI,motor_vehicle_expenses,2026-02,143494.42
MALAWI,other_income,2026-02,2000000.0
MALAWI,pension_admin_fee,2026-02,36000000.0
MALAWI,personnel_costs,2026-02,10048563.51
MALAWI,premises,2026-02,705900.0
MALAWI,printing_stationery,2026-02,207261.15
MALAWI,professional_fees,2026-02,765898.04
MALAWI,travelling,2026-02,175544.0
MENA,actuarial_fees,2026-02,11450833.33
MENA,advertising_pr,2026-02,644059.89
MENA,communications,2026-02,32182.84
MENA,it_costs,2026-02,386200.0
MENA,personnel_costs,2026-02,10642214.14
MENA,premises,2026-02,899554.1
MENA,professional_fees,2026-02,843686.06
MENA,travelling,2026-02,517426.51
NIGERIA,actuarial_fees,2026-02,13115860.22
NIGERIA,advertising_pr,2026-02,221378.87
NIGERIA,communications,2026-02,90132.83
NIGERIA,depreciation,2026-02,134408.6
NIGERIA,entertainment,2026-02,200000.0
NIGERIA,general_expenses,2026-02,67647.06
NIGERIA,it_costs,2026-02,102783.05
NIGERIA,insurance,2026-02,105474.32
NIGERIA,management_expense,2026-02,484258.17
NIGERIA,motor_vehicle_expenses,2026-02,96502.21
NIGERIA,personnel_costs,2026-02,6140180.53
NIGERIA,premises,2026-02,358507.27
NIGERIA,printing_stationery,2026-02,122390.89
NIGERIA,professional_fees,2026-02,596774.19
NIGERIA,travelling,2026-02,1039801.82
RWANDA,actuarial_fees,2026-02,500000.0
RWANDA,advertising_pr,2026-02,19616.0
RWANDA,communications,2026-02,196037.56
RWANDA,depreciation,2026-02,588196.81
RWANDA,entertainment,2026-02,16000.0
RWANDA,general_expenses,2026-02,1599447.18
RWANDA,it_costs,2026-02,101422.22
RWANDA,insurance,2026-02,139362.0
RWANDA,insurance_commissions,2026-02,10408395.39
RWANDA,motor_vehicle_expenses,2026-02,109266.0
RWANDA,other_income,2026-02,160500.02
RWANDA,pension_admin_fee,2026-02,133051.0
RWANDA,personnel_costs,2026-02,6074894.51
RWANDA,premises,2026-02,474167.0
RWANDA,printing_stationery,2026-02,62909.56
RWANDA,professional_fees,2026-02,465898.04
RWANDA,travelling,2026-02,455544.0
ZAAC,actuarial_fees,2026-02,55000000.0
ZAAC,advertising_pr,2026-02,2666100.05
ZAAC,communications,2026-02,457072.44
ZAAC,depreciation,2026-02,6831361.25
ZAAC,entertainment,2026-02,785924.03
ZAAC,finance_costs,2026-02,113722.23
ZAAC,general_expenses,2026-02,2234868.88
ZAAC,it_costs,2026-02,3615676.5
ZAAC,insurance,2026-02,2673214.86
ZAAC,motor_vehicle_expenses,2026-02,1317885.54
ZAAC,other_income,2026-02,4100632.0
ZAAC,pension_admin_fee,2026-02,93710957.04
ZAAC,personnel_costs,2026-02,118161907.43
ZAAC,premises,2026-02,6748211.1
ZAAC,printing_stationery,2026-02,572869.0
ZAAC,professional_fees,2026-02,6912469.8
ZAAC,retail_income,2026-02,21430346.9
ZAAC,travelling,2026-02,2591701.0
ZAAC,umbrella_fund,2026-02,45041666.67
ZAMRE,advertising_pr,2026-02,28402.0
ZAMRE,communications,2026-02,10597.0
ZAMRE,entertainment,2026-02,90000.0
ZAMRE,finance_costs,2026-02,15368.0
ZAMRE,general_expenses,2026-02,133886.0
ZAMRE,insurance_commissions,2026-02,6436043.0
ZAMRE,motor_vehicle_expenses,2026-02,38000.0
ZAMRE,other_income,2026-02,50000.0
ZAMRE,personnel_costs,2026-02,5600000.0
ZAMRE,premises,2026-02,21000.0
ZAMRE,printing_stationery,2026-02,10000.0
ZAMRE,travelling,2026-02,154475.0
ZARIB,advertising_pr,2026-02,600740.69
ZARIB,communications,2026-02,718846.98
ZARIB,depreciation,2026-02,4200444.48
ZARIB,entertainment,2026-02,2983855.17
ZARIB,finance_costs,2026-02,194431.65
ZARIB,general_expenses,2026-02,3873138.61
ZARIB,it_costs,2026-02,1956567.64
ZARIB,insurance,2026-02,2297978.92
ZARIB,insurance_commissions,2026-02,511325009.91
ZARIB,motor_vehicle_expenses,2026-02,1531996.46
ZARIB,other_income,2026-02,10666666.0
ZARIB,personnel_costs,2026-02,89168750.26
ZARIB,premises,2026-02,7959057.66
ZARIB,printing_stationery,2026-02,433969.76
ZARIB,professional_fees,2026-02,1651694.53
ZARIB,travelling,2026-02,1267095.46
ZATL,actuarial_fees,2026-02,2090000.0
ZATL,communications,2026-02,70000.0
ZATL,depreciation,2026-02,22512.0
ZATL,general_expenses,2026-02,110000.0
ZATL,it_costs,2026-02,2000.0
ZATL,insurance,2026-02,68000.0
ZATL,management_expense,2026-02,230566.64
ZATL,motor_vehicle_expenses,2026-02,11000.0
ZATL,personnel_costs,2026-02,1070000.0
ZATL,premises,2026-02,164000.0
ZATL,printing_stationery,2026-02,50000.0
ZATL,professional_fees,2026-02,300000.0
ZHL,general_expenses,2026-02,1450.0
ZHL,other_income,2026-02,50625.0
ZHL,professional_fees,2026-02,308000.0
C&P,finance_costs,2026-03,16666.67
C&P,general_expenses,2026-03,1692461.01
C&P,insurance,2026-03,1080787.17
C&P,pension_admin_fee,2026-03,13349828.55
C&P,professional_fees,2026-03,498888.49
DRC,advertising_pr,2026-03,1975000.0
DRC,communications,2026-03,475000.0
DRC,depreciation,2026-03,1060000.0
DRC,entertainment,2026-03,475000.0
DRC,general_expenses,2026-03,2650000.0
DRC,it_costs,2026-03,525000.0
DRC,insurance,2026-03,317000.0
DRC,insurance_commissions,2026-03,20250000.0
DRC,management_expense,2026-03,737271.13
DRC,motor_vehicle_expenses,2026-03,855000.0
DRC,personnel_costs,2026-03,7750000.0
DRC,premises,2026-03,3200000.0
DRC,printing_stationery,2026-03,475000.0
DRC,professional_fees,2026-03,2568000.0
DRC,travelling,2026-03,1425000.0
MALAWI,advertising_pr,2026-03,1311774.76
MALAWI,communications,2026-03,333078.31
MALAWI,depreciation,2026-03,1732107.11
MALAWI,general_expenses,2026-03,3503388.87
MALAWI,insurance,2026-03,920785.56
MALAWI,management_expense,2026-03,6714938.9
MALAWI,motor_vehicle_expenses,2026-03,1659906.39
MALAWI,other_income,2026-03,608762.96
MALAWI,pension_admin_fee,2026-03,54711749.9
MALAWI,personnel_costs,2026-03,14699183.95
MALAWI,premises,2026-03,2043064.93
MALAWI,printing_stationery,2026-03,1234511.54
MALAWI,professional_fees,2026-03,2091272.32
MALAWI,travelling,2026-03,370147.39
MENA,actuarial_fees,2026-03,34352499.68
MENA,advertising_pr,2026-03,966089.83
MENA,communications,2026-03,48274.26
MENA,depreciation,2026-03,21032.38
MENA,it_costs,2026-03,579300.0
MENA,personnel_costs,2026-03,16669911.49
MENA,premises,2026-03,1349331.16
MENA,professional_fees,2026-03,1265529.09
MENA,travelling,2026-03,776139.77
NIGERIA,actuarial_fees,2026-03,19962236.15
NIGERIA,advertising_pr,2026-03,328789.77
NIGERIA,communications,2026-03,133864.41
NIGERIA,depreciation,2026-03,199622.27
NIGERIA,entertainment,2026-03,152652.39
NIGERIA,general_expenses,2026-03,515495.39
NIGERIA,it_costs,2026-03,152652.49
NIGERIA,insurance,2026-03,194280.0
NIGERIA,management_expense,2026-03,1657532.63
NIGERIA,motor_vehicle_expenses,2026-03,187879.96
NIGERIA,personnel_costs,2026-03,7136480.16
NIGERIA,premises,2026-03,829489.53
NIGERIA,printing_stationery,2026-03,181773.77
NIGERIA,professional_fees,2026-03,886323.28
NIGERIA,travelling,2026-03,1754895.74
RWANDA,actuarial_fees,2026-03,4277757.23
RWANDA,advertising_pr,2026-03,1070482.01
RWANDA,communications,2026-03,341132.85
RWANDA,depreciation,2026-03,779600.77
RWANDA,entertainment,2026-03,106604.02
RWANDA,general_expenses,2026-03,1313521.13
RWANDA,it_costs,2026-03,246477.37
RWANDA,insurance,2026-03,384247.87
RWANDA,insurance_commissions,2026-03,13324425.44
RWANDA,motor_vehicle_expenses,2026-03,328695.72
RWANDA,other_income,2026-03,319812.05
RWANDA,pension_admin_fee,2026-03,205567.79
RWANDA,personnel_costs,2026-03,11574124.29
RWANDA,premises,2026-03,853373.86
RWANDA,printing_stationery,2026-03,133255.02
RWANDA,professional_fees,2026-03,53302.01
RWANDA,travelling,2026-03,333137.55
ZAAC,actuarial_fees,2026-03,95000000.0
ZAAC,advertising_pr,2026-03,5562672.12
ZAAC,communications,2026-03,1992840.2
ZAAC,depreciation,2026-03,10567321.6
ZAAC,entertainment,2026-03,4542044.82
ZAAC,finance_costs,2026-03,642591.98
ZAAC,general_expenses,2026-03,8785979.69
ZAAC,it_costs,2026-03,18226833.54
ZAAC,insurance,2026-03,4098611.84
ZAAC,motor_vehicle_expenses,2026-03,3360000.0
ZAAC,other_income,2026-03,6534597.33
ZAAC,pension_admin_fee,2026-03,145565126.46
ZAAC,personnel_costs,2026-03,181521426.49
ZAAC,premises,2026-03,10550252.54
ZAAC,printing_stationery,2026-03,988973.62
ZAAC,professional_fees,2026-03,9675673.64
ZAAC,retail_income,2026-03,32145520.35
ZAAC,travelling,2026-03,8598839.28
ZAAC,umbrella_fund,2026-03,67562500.0
ZAMRE,advertising_pr,2026-03,153402.0
ZAMRE,communications,2026-03,25597.0
ZAMRE,entertainment,2026-03,160000.0
ZAMRE,finance_costs,2026-03,15368.0
ZAMRE,general_expenses,2026-03,133886.0
ZAMRE,it_costs,2026-03,250000.0
ZAMRE,insurance,2026-03,82511.85
ZAMRE,insurance_commissions,2026-03,23462272.0
ZAMRE,motor_vehicle_expenses,2026-03,80000.0
ZAMRE,other_income,2026-03,150000.0
ZAMRE,personnel_costs,2026-03,8500000.0
ZAMRE,premises,2026-03,51000.0
ZAMRE,professional_fees,2026-03,100000.0
ZAMRE,travelling,2026-03,254475.0
ZARIB,advertising_pr,2026-03,1564643.72
ZARIB,communications,2026-03,1580249.18
ZARIB,depreciation,2026-03,6367123.25
ZARIB,entertainment,2026-03,3746986.82
ZARIB,finance_costs,2026-03,726098.32
ZARIB,general_expenses,2026-03,6109826.01
ZARIB,it_costs,2026-03,4962761.4
ZARIB,insurance,2026-03,3446968.39
ZARIB,insurance_commissions,2026-03,592864786.0
ZARIB,motor_vehicle_expenses,2026-03,2474817.13
ZARIB,other_income,2026-03,15999999.0
ZARIB,personnel_costs,2026-03,132032003.68
ZARIB,premises,2026-03,10657057.22
ZARIB,printing_stationery,2026-03,712812.98
ZARIB,professional_fees,2026-03,3004540.86
ZARIB,travelling,2026-03,1817791.98
ZATL,actuarial_fees,2026-03,5027652.09
ZATL,communications,2026-03,69381.6
ZATL,depreciation,2026-03,33547.46
ZATL,entertainment,2026-03,7541.48
ZATL,general_expenses,2026-03,193535.7
ZATL,it_costs,2026-03,2066.37
ZATL,insurance,2026-03,103665.91
ZATL,management_expense,2026-03,607640.55
ZATL,motor_vehicle_expenses,2026-03,15082.96
ZATL,other_income,2026-03,5530.42
ZATL,personnel_costs,2026-03,1028154.85
ZATL,premises,2026-03,229135.24
ZATL,printing_stationery,2026-03,100553.04
ZATL,professional_fees,2026-03,311714.43
ZATL,travelling,2026-03,150829.56
ZHL,general_expenses,2026-03,190650.0
ZHL,other_income,2026-03,50625.0
ZHL,professional_fees,2026-03,10116000.0
C&P,finance_costs,2026-04,16666.67
C&P,general_expenses,2026-04,2656386.5
C&P,insurance,2026-04,1741049.56
C&P,pension_admin_fee,2026-04,17799771.41
C&P,professional_fees,2026-04,498888.49
DRC,advertising_pr,2026-04,2554048.03
DRC,communications,2026-04,614264.72
DRC,depreciation,2026-04,1370780.21
DRC,entertainment,2026-04,614264.72
DRC,general_expenses,2026-04,3426950.53
DRC,it_costs,2026-04,678924.16
