journal_id,period,journal_description,elimination_type,entity_scope,statement_line_code,statement_type,debit_kes,credit_kes,posted,notes
ELIM-2026-04-16,2026-04,BusinessCombination,ELIM-INVEST,GROUP,goodwill,SFP,236496910.0,0,Y,ELIM-INVEST
ELIM-2026-04-16,2026-04,BusinessCombination,ELIM-INVEST,GROUP,investment_in_subsidiary,SFP,0,1003333508.0,Y,ELIM-INVEST
ELIM-2026-04-16,2026-04,BusinessCombination,ELIM-INVEST,GROUP,retained_earnings,SFP,708476597.86,0,Y,ELIM-INVEST
ELIM-2026-04-16,2026-04,BusinessCombination,ELIM-INVEST,GROUP,share_capital,SFP,55000000.0,0,Y,ELIM-INVEST
ELIM-2026-04-16,2026-04,BusinessCombination,ELIM-INVEST,GROUP,translation_reserve,SFP,3360000.0,0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,goodwill,SFP,0,48261063.0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,investment_in_subsidiary,SFP,0,24439615.0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,non_controlling_interests,SFP,0,28523553.0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,retained_earnings,SFP,62920066.0,0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,share_capital,SFP,826845.15,0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,trade_and_other_payables,SFP,0,6938816.0,Y,ELIM-INVEST
ELIM-2026-04-17,2026-04,InvestInMalawi,ELIM-INVEST,MALAWI,translation_reserve,SFP,44416135.84,0,Y,ELIM-INVEST
ELIM-2026-04-18,2026-04,MalawiShareholderLoan,ELIM-INTERCO,MALAWI,goodwill,SFP,89363497.0,0,Y,ELIM-INTERCO
ELIM-2026-04-18,2026-04,MalawiShareholderLoan,ELIM-INTERCO,MALAWI,investment_in_subsidiary,SFP,0,85074864.0,Y,ELIM-INTERCO
ELIM-2026-04-18,2026-04,MalawiShareholderLoan,ELIM-INTERCO,MALAWI,retained_earnings,SFP,0,95353159.0,Y,ELIM-INTERCO
ELIM-2026-04-18,2026-04,MalawiShareholderLoan,ELIM-INTERCO,MALAWI,translation_reserve,SFP,91064526.0,0,Y,ELIM-INTERCO
ELIM-2026-04-19,2026-04,InvestInNigeria,ELIM-INVEST,NIGERIA,investment_in_subsidiary,SFP,0,17791604.0,Y,ELIM-INVEST
ELIM-2026-04-19,2026-04,InvestInNigeria,ELIM-INVEST,NIGERIA,share_capital,SFP,5865016.33,0,Y,ELIM-INVEST
ELIM-2026-04-19,2026-04,InvestInNigeria,ELIM-INVEST,NIGERIA,translation_reserve,SFP,11926587.67,0,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,goodwill,SFP,95451843.0,0,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,investment_in_subsidiary,SFP,0,36808446.81,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,retained_earnings,SFP,0,90677614.0,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,share_capital,SFP,78828038.37,0,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,trade_and_other_payables,SFP,0,1066476.0,Y,ELIM-INVEST
ELIM-2026-04-20,2026-04,ZAACGroup,ELIM-INVEST,ZAAC,translation_reserve,SFP,0,45727344.56,Y,ELIM-INVEST
ELIM-2026-04-21,2026-04,InvestInZATL,ELIM-INVEST,ZATL,share_capital,SFP,16018444.87,0,Y,ELIM-INVEST
ELIM-2026-04-21,2026-04,InvestInZATL,ELIM-INVEST,ZATL,translation_reserve,SFP,0,16018444.87,Y,ELIM-INVEST
ELIM-2026-04-22,2026-04,InvestInDRC,ELIM-INVEST,DRC,investment_in_subsidiary,SFP,0,77821118.0,Y,ELIM-INVEST
ELIM-2026-04-22,2026-04,InvestInDRC,ELIM-INVEST,DRC,share_capital,SFP,74407985.64,0,Y,ELIM-INVEST
ELIM-2026-04-22,2026-04,InvestInDRC,ELIM-INVEST,DRC,translation_reserve,SFP,3413132.36,0,Y,ELIM-INVEST
ELIM-2026-04-23,2026-04,InvestInZAMRE,ELIM-INVEST,ZAMRE,share_capital,SFP,5000000.0,0,Y,ELIM-INVEST
ELIM-2026-04-23,2026-04,InvestInZAMRE,ELIM-INVEST,ZAMRE,translation_reserve,SFP,0,5000000.0,Y,ELIM-INVEST
ELIM-2026-04-24,2026-04,InvestInRwandaNigeria2025,ELIM-INVEST,RWANDA,investment_in_subsidiary,SFP,0,28746119.56,Y,ELIM-INVEST
