entity_code,entity_name,functional_ccy,consolidation_method,parent_entity_code,is_active,region
ZAAC,Zamara Actuaries Administrators & Consultants Limited,KES,Full,,true,Kenya
ZARIB,Zamara Risk and Insurance Brokers Ltd,KES,Full,,true,Kenya
ZAMRE,Zamara Reinsurance,KES,Full,,true,Kenya
ZHL,Zamara Holdings Limited,KES,Full,,true,Kenya
ZATL,Zamara Actuaries Tanzania Limited,TZS,Full,,true,Africa
C&P,Corporate and Pension Trust Services Ltd,KES,Sub-consolidated,ZAAC,true,Kenya
MENA,Zamara Actuarial MENA Ltd,AED,Full,,true,MENA
MALAWI,Zamara Pensions Administration Ltd Malawi,MWK,Full,,true,Africa
NIGERIA,Zamara Consulting Actuaries Nigeria Limited,NGN,Full,,true,Africa
RWANDA,Zamara Actuaries Administrators and Insurance Brokers Rwanda,RWF,Full,,true,Africa
DRC,Zamara DRC,USD,Full,,true,Africa
UGANDA,Zamara Associate Uganda,UGX,Equity,,true,Africa
