currency,period,rate_type,rate_to_kes,rate_source
KES,2026-01,CLOSING,1.0000000000,CBK
KES,2026-01,AVERAGE,1.0000000000,CBK
TZS,2026-01,CLOSING,0.0507099391,IMPLIED_WB
TZS,2026-01,AVERAGE,0.0507099391,IMPLIED_WB
MWK,2026-01,CLOSING,0.0750075008,IMPLIED_WB
MWK,2026-01,AVERAGE,0.0750075008,IMPLIED_WB
USD,2026-01,CLOSING,129.3266666667,IMPLIED_WB
USD,2026-01,AVERAGE,129.3266666667,IMPLIED_WB
RWF,2026-01,CLOSING,0.0890471950,IMPLIED_WB
RWF,2026-01,AVERAGE,0.0890471950,IMPLIED_WB
AED,2026-01,CLOSING,35.1200000000,CARRIED
AED,2026-01,AVERAGE,35.0500000000,CARRIED
NGN,2026-01,CLOSING,0.0943000000,CARRIED
NGN,2026-01,AVERAGE,0.0941000000,CARRIED
KES,2026-02,CLOSING,1.0000000000,CBK
KES,2026-02,AVERAGE,1.0000000000,CBK
TZS,2026-02,CLOSING,0.0505050510,IMPLIED_WB
TZS,2026-02,AVERAGE,0.0505050510,IMPLIED_WB
MWK,2026-02,CLOSING,0.0750075008,IMPLIED_WB
MWK,2026-02,AVERAGE,0.0750075008,IMPLIED_WB
USD,2026-02,CLOSING,129.3266666667,IMPLIED_WB
USD,2026-02,AVERAGE,129.3266666667,IMPLIED_WB
RWF,2026-02,CLOSING,0.0890471950,IMPLIED_WB
RWF,2026-02,AVERAGE,0.0890471950,IMPLIED_WB
AED,2026-02,CLOSING,35.1200000000,CARRIED
AED,2026-02,AVERAGE,35.0500000000,CARRIED
NGN,2026-02,CLOSING,0.0943000000,CARRIED
NGN,2026-02,AVERAGE,0.0941000000,CARRIED
KES,2026-03,CLOSING,1.0000000000,CBK
KES,2026-03,AVERAGE,1.0000000000,CBK
TZS,2026-03,CLOSING,0.0502765209,IMPLIED_WB
TZS,2026-03,AVERAGE,0.0502765209,IMPLIED_WB
MWK,2026-03,CLOSING,0.0750075008,IMPLIED_WB
MWK,2026-03,AVERAGE,0.0750075008,IMPLIED_WB
USD,2026-03,CLOSING,129.3266666667,IMPLIED_WB
USD,2026-03,AVERAGE,129.3266666667,IMPLIED_WB
RWF,2026-03,CLOSING,0.0890471950,IMPLIED_WB
RWF,2026-03,AVERAGE,0.0890471950,IMPLIED_WB
AED,2026-03,CLOSING,35.1200000000,CARRIED
AED,2026-03,AVERAGE,35.0500000000,CARRIED
NGN,2026-03,CLOSING,0.0943000000,CARRIED
NGN,2026-03,AVERAGE,0.0941000000,CARRIED
KES,2026-04,CLOSING,1.0000000000,CBK
KES,2026-04,AVERAGE,1.0000000000,CBK
TZS,2026-04,CLOSING,0.0502765209,IMPLIED_WB
TZS,2026-04,AVERAGE,0.0502765209,IMPLIED_WB
MWK,2026-04,CLOSING,0.0744812382,IMPLIED_WB
MWK,2026-04,AVERAGE,0.0744812382,IMPLIED_WB
USD,2026-04,CLOSING,129.2875000000,IMPLIED_WB
USD,2026-04,AVERAGE,129.2875000000,IMPLIED_WB
RWF,2026-04,CLOSING,0.0887123164,IMPLIED_WB
RWF,2026-04,AVERAGE,0.0887123164,IMPLIED_WB
AED,2026-04,CLOSING,35.1200000000,CARRIED
AED,2026-04,AVERAGE,35.0500000000,CARRIED
NGN,2026-04,CLOSING,0.0943000000,CARRIED
NGN,2026-04,AVERAGE,0.0941000000,CARRIED
KES,2026-05,CLOSING,1.0000000000,CBK
KES,2026-05,AVERAGE,1.0000000000,CBK
TZS,2026-05,CLOSING,0.0495540139,IMPLIED_WB
TZS,2026-05,AVERAGE,0.0495540139,IMPLIED_WB
MWK,2026-05,CLOSING,0.0745956914,IMPLIED_WB
MWK,2026-05,AVERAGE,0.0745956914,IMPLIED_WB
USD,2026-05,CLOSING,129.3400000000,IMPLIED_WB
USD,2026-05,AVERAGE,129.3400000000,IMPLIED_WB
RWF,2026-05,CLOSING,0.0886846450,IMPLIED_WB
RWF,2026-05,AVERAGE,0.0886846450,IMPLIED_WB
AED,2026-05,CLOSING,35.1200000000,CARRIED
AED,2026-05,AVERAGE,35.0500000000,CARRIED
NGN,2026-05,CLOSING,0.0943000000,CARRIED
NGN,2026-05,AVERAGE,0.0941000000,CARRIED
