company_name,period,tax_rate,basis,source,notes
NIGERIA,2026-01,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
RWANDA,2026-01,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
ZAMRE,2026-01,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
ZARIB,2026-01,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
C&P,2026-03,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
NIGERIA,2026-03,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 274),
RWANDA,2026-03,0.28,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 274),"Client formula reads *0.28, not *0.3 — confirm with Finance whether this is intentional"
ZATL,2026-03,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
C&P,2026-04,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
NIGERIA,2026-04,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
RWANDA,2026-04,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
ZATL,2026-04,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 284),
C&P,2026-05,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
RWANDA,2026-05,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
ZATL,2026-05,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 284),
C&P,2026-06,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
RWANDA,2026-06,0.3,PROFIT_BEFORE_TAX,client computes it in TB Local Currency (row 273),
ZATL,2026-06,0.3,PROFIT_BEFORE_TAX,client computes it in KES consolidated TB (row 285),
