company_name,period,local_account_no,description,accrual_local,client_column,source_tab
ZAAC,2026-02,B55135,Accrued Income,171797159.43,Accruals,ZAAC TB
ZAAC,2026-02,B80110,Bonus(General provision),-5387066.67,Accruals,ZAAC TB
ZAAC,2026-02,I10060,Actuarial - Once-off,-36350678.11,Accruals,ZAAC TB
ZAAC,2026-02,I10070,IPP - Vuna Retirement Plan,-10035066.15,Accruals,ZAAC TB
ZAAC,2026-02,I10071,MC-ADMIN FEES,-77041761.17,Accruals,ZAAC TB
ZAAC,2026-02,I10073,AFRF Admin Fees,-43860042.0,Accruals,ZAAC TB
ZAAC,2026-02,I10123,Other Incomes - one off,-4509612.0,Accruals,ZAAC TB
ZAAC,2026-02,I25029,Other Staff Costs,5387066.67,Accruals,ZAAC TB
ZARIB,2026-02,B80110,Bonus(General provision),-3875292.79,Accruals,ZARIB TB
ZARIB,2026-02,I25029,Other Staff Costs,3875292.79,Accruals,ZARIB TB
C&P,2026-02,B55135,Accrued Income,8122126.83,Accruals,C & P
C&P,2026-02,I10067,AF Trust Fund,-8122126.83,Accruals,C & P
ZAAC,2026-03,B55135,Accrued Income,13118136.83,Accruals,ZAAC TB
ZAAC,2026-03,B75120,Tax Provision-Other,-21010702.96,derived: after - amount (Accruals),ZAAC TB
ZAAC,2026-03,B80110,Bonus(General provision),-10862933.33,Accruals,ZAAC TB
ZAAC,2026-03,I10070,IPP - Vuna Retirement Plan,-471868.4,Accruals,ZAAC TB
ZAAC,2026-03,I10071,MC-ADMIN FEES,-48510523.24,Accruals,ZAAC TB
ZAAC,2026-03,I10073,AFRF Admin Fees,1424486.39,Accruals,ZAAC TB
ZAAC,2026-03,I10073.2,Management Fees,-6420521.69,Accruals,ZAAC TB
ZAAC,2026-03,I25029,Other Staff Costs,10862933.33,Accruals,ZAAC TB
ZAAC,2026-03,ZAAC-TAXEXPENSE,Tax expense,21010702.96,derived: after - amount (Accruals),ZAAC TB
ZARIB,2026-03,B80110,Bonus(General provision),-7374707.21,Deffered Revenue & Accruals,ZARIB TB
ZARIB,2026-03,B75120,Tax Provision-Other,3375000.0,derived: after - amount (Deffered Revenue & Accruals),ZARIB TB
ZARIB,2026-03,I25029,Other Staff Costs,7374707.21,Deffered Revenue & Accruals,ZARIB TB
ZARIB,2026-03,4650/200,Tax Expense,-3375000.0,derived: after - amount (Deffered Revenue & Accruals),ZARIB TB
C&P,2026-03,B55135,Accrued Income,4061063.41,Accruals,C & P
C&P,2026-03,I10067,AF Trust Fund,-4061063.41,Accruals,C & P
ZAAC,2026-03,I10060,actuarial - once-off,36350678.11,released (no longer listed),
ZAAC,2026-03,I10123,other incomes - one off,4509612.0,released (no longer listed),
ZAAC,2026-04,B55135,Accrued Income,23294359.68,Accruals,ZAAC TB
